trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.331,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,3,null,11,10,7,null,null,1,4,2,null,GW/Canoe.png,null,GW/Skis.png,GW/Ship.png,GW/Leaf.png,27.059,27.059,29.706200000047684,0,1,0,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,4,null,11,12,9,null,null,2,1,3,null,GW/Wheel.png,null,GW/Skis.png,GW/Train.png,GW/Potato.png,29.938,29.938,31.804699999928474,0,2,1,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,8,null,12,13,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Train.png,GW/Tree.png,GW/Ship.png,32.658,32.658,34.3725,0,3,2,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,9,null,12,7,5,null,null,2,1,4,null,GW/Potato.png,null,GW/Train.png,GW/Leaf.png,GW/Fish.png,35.97,35.97,38.26789999997616,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,2,null,7,5,1,null,null,3,2,1,null,GW/Cactus.png,null,GW/Leaf.png,GW/Fish.png,GW/Buffalo.png,38.178,38.178,39.382800000071526,0,1,0,1,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,11,null,12,10,6,null,null,1,3,2,null,GW/Skis.png,null,GW/Train.png,GW/Ship.png,GW/Football.png,41.138,41.138,43.08369999992848,0,1,0,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,8,null,11,9,12,null,null,2,1,3,null,GW/Pool.png,null,GW/Skis.png,GW/Potato.png,GW/Train.png,44.066,44.066,45.98030000007152,0,1,0,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,6,null,7,10,2,null,null,1,3,2,null,GW/Football.png,null,GW/Leaf.png,GW/Ship.png,GW/Cactus.png,46.818,46.818,48.56089999997616,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,11,null,9,13,8,null,null,1,3,2,null,GW/Skis.png,null,GW/Potato.png,GW/Tree.png,GW/Pool.png,51.026,51.026,54.22790000009537,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,7,null,13,2,10,null,null,1,3,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Cactus.png,GW/Ship.png,53.522,53.522,55.005,0,1,0,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,55bd8669fdf99b5bfc7d4cfc,interleaved,Direct,null,3,null,5,9,6,null,null,3,2,1,null,GW/Canoe.png,null,GW/Fish.png,GW/Potato.png,GW/Football.png,56.594,56.594,58.65189999997616,0,2,1,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
