trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,2,null,9,12,4,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Train.png,GW/Wheel.png,25.845,25.845,28.457200000047685,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,10,null,12,9,8,null,null,4,2,1,null,GW/Ship.png,null,GW/Train.png,GW/Potato.png,GW/Pool.png,28.638,28.638,30.42569999998808,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,13,null,8,7,11,null,null,2,1,3,null,GW/Tree.png,null,GW/Pool.png,GW/Leaf.png,GW/Skis.png,31.697,31.697,33.751700000047684,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,9,null,2,3,11,null,null,3,2,1,null,GW/Potato.png,null,GW/Cactus.png,GW/Canoe.png,GW/Skis.png,34.884,34.884,37.06719999998808,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,3,null,8,7,2,null,null,3,2,1,null,GW/Canoe.png,null,GW/Pool.png,GW/Leaf.png,GW/Cactus.png,40.777,40.777,45.667100000023844,0,3,2,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,12,null,9,11,1,null,null,2,1,3,null,GW/Train.png,null,GW/Potato.png,GW/Skis.png,GW/Buffalo.png,45.849,45.849,49.91660000002384,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,2,null,5,3,8,null,null,2,1,4,null,GW/Cactus.png,null,GW/Fish.png,GW/Canoe.png,GW/Pool.png,50.082,50.082,53.31330000001192,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,4,null,12,6,11,null,null,1,3,2,null,GW/Wheel.png,null,GW/Train.png,GW/Football.png,GW/Skis.png,53.113,53.113,55.14030000001192,0,1,0,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,8,null,7,3,6,null,null,1,3,2,null,GW/Pool.png,null,GW/Leaf.png,GW/Canoe.png,GW/Football.png,58.637,58.637,63.157400000035764,0,2,1,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,3,null,4,11,5,null,null,2,1,3,null,GW/Canoe.png,null,GW/Wheel.png,GW/Skis.png,GW/Fish.png,61.85,61.85,64.05829999995231,0,2,1,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,8,null,12,13,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Train.png,GW/Tree.png,GW/Ship.png,64.539,64.539,66.22340000003577,0,3,2,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,3,null,6,10,7,null,null,1,4,2,null,GW/Canoe.png,null,GW/Football.png,GW/Ship.png,GW/Leaf.png,68.025,68.025,70.50640000003577,0,2,1,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,9,null,1,3,8,null,null,4,2,1,null,GW/Potato.png,null,GW/Buffalo.png,GW/Canoe.png,GW/Pool.png,70.241,70.241,71.45419999998808,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,5,null,2,4,3,null,null,2,1,3,null,GW/Fish.png,null,GW/Cactus.png,GW/Wheel.png,GW/Canoe.png,74.708,74.708,78.17089999997616,0,3,2,4,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,7,null,8,12,3,null,null,1,3,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Train.png,GW/Canoe.png,78.047,78.047,80.38089999997615,0,3,2,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,6,null,8,3,12,null,null,2,1,3,null,GW/Football.png,null,GW/Pool.png,GW/Canoe.png,GW/Train.png,85.553,85.553,85.553,0,-48,-49,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,7,null,11,9,2,null,null,2,1,3,null,GW/Leaf.png,null,GW/Skis.png,GW/Potato.png,GW/Cactus.png,91.566,91.566,93.57240000003576,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,11,null,2,3,5,null,null,2,1,3,null,GW/Skis.png,null,GW/Cactus.png,GW/Canoe.png,GW/Fish.png,94.527,94.527,96.48430000001193,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,9,null,2,12,6,null,null,3,2,1,null,GW/Potato.png,null,GW/Cactus.png,GW/Train.png,GW/Football.png,96.61,96.61,97.68879999995232,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ac5260dfa3b4e0001736dd3,interleaved,Direct,null,7,null,13,1,10,null,null,1,4,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Buffalo.png,GW/Ship.png,98.808,98.808,100.00189999997616,0,1,0,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
