trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,5caec6b270da3100017f35de,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,3,null,8,7,6,null,null,3,2,1,null,GW/Canoe.png,null,GW/Pool.png,GW/Leaf.png,GW/Football.png,47.178,47.178,52.62189999997616,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,8,null,3,11,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Canoe.png,GW/Skis.png,GW/Ship.png,51.93,51.93,55.68029999995232,0,1,0,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,7,null,2,11,9,null,null,3,2,1,null,GW/Leaf.png,null,GW/Cactus.png,GW/Skis.png,GW/Potato.png,56.218,56.218,59.5025,0,1,0,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,3,null,11,8,1,null,null,1,3,2,null,GW/Canoe.png,null,GW/Skis.png,GW/Pool.png,GW/Buffalo.png,61.33,61.33,65.43939999997616,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,6,null,10,13,9,null,null,3,2,1,null,GW/Football.png,null,GW/Ship.png,GW/Tree.png,GW/Potato.png,64.314,64.314,66.296,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,11,null,1,7,3,null,null,3,2,1,null,GW/Skis.png,null,GW/Buffalo.png,GW/Leaf.png,GW/Canoe.png,69.313,69.313,73.311,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,7,null,11,6,4,null,null,2,1,4,null,GW/Leaf.png,null,GW/Skis.png,GW/Football.png,GW/Wheel.png,73.577,73.577,76.83839999997616,0,2,1,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,11,null,2,9,1,null,null,2,1,3,null,GW/Skis.png,null,GW/Cactus.png,GW/Potato.png,GW/Buffalo.png,77.193,77.193,79.80770000004769,0,1,0,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,4,null,6,3,12,null,null,3,2,1,null,GW/Wheel.png,null,GW/Football.png,GW/Canoe.png,GW/Train.png,84.368,84.368,90.54080000007153,0,3,2,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,1,null,6,4,2,null,null,3,2,1,null,GW/Buffalo.png,null,GW/Football.png,GW/Wheel.png,GW/Cactus.png,87.009,87.009,88.64690000009537,0,3,2,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,12,null,11,8,9,null,null,1,3,2,null,GW/Train.png,null,GW/Skis.png,GW/Pool.png,GW/Potato.png,90.313,90.313,92.61579999995232,0,1,0,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,9,null,12,6,5,null,null,2,1,4,null,GW/Potato.png,null,GW/Train.png,GW/Football.png,GW/Fish.png,92.545,92.545,93.77410000002384,0,2,1,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,8,null,3,11,7,null,null,3,2,1,null,GW/Pool.png,null,GW/Canoe.png,GW/Skis.png,GW/Leaf.png,95.72,95.72,97.89339999997615,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,9,null,11,4,12,null,null,1,3,2,null,GW/Potato.png,null,GW/Skis.png,GW/Wheel.png,GW/Train.png,101.353,101.353,105.98410000002384,0,1,0,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,7,null,8,1,3,null,null,1,4,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Buffalo.png,GW/Canoe.png,104.321,104.321,106.28610000002384,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,2,null,3,9,12,null,null,1,3,2,null,GW/Cactus.png,null,GW/Canoe.png,GW/Potato.png,GW/Train.png,108.793,108.793,112.26160000002385,0,1,0,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,9,null,1,12,7,null,null,4,2,1,null,GW/Potato.png,null,GW/Buffalo.png,GW/Train.png,GW/Leaf.png,112.697,112.697,115.59860000002384,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,5,null,4,11,12,null,null,1,3,2,null,GW/Fish.png,null,GW/Wheel.png,GW/Skis.png,GW/Train.png,115.009,115.009,116.31859999990463,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,11,null,4,12,13,null,null,2,1,3,null,GW/Skis.png,null,GW/Wheel.png,GW/Train.png,GW/Tree.png,120.584,120.584,125.15760000002385,0,2,1,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,4,null,9,1,2,null,null,3,2,1,null,GW/Wheel.png,null,GW/Potato.png,GW/Buffalo.png,GW/Cactus.png,125.641,125.641,129.69519999992846,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,5caec6b270da3100017f35de,interleaved,Direct,null,9,null,8,2,12,null,null,1,3,2,null,GW/Potato.png,null,GW/Pool.png,GW/Cactus.png,GW/Train.png,128.376,128.376,130.1085,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
