trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13.544,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,7,null,11,13,2,null,null,2,1,3,null,GW/Leaf.png,null,GW/Skis.png,GW/Tree.png,GW/Cactus.png,80.488,80.488,82.47019999998808,0,2,1,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,3,null,11,5,7,null,null,1,3,2,null,GW/Canoe.png,null,GW/Skis.png,GW/Fish.png,GW/Leaf.png,83.093,83.093,84.69559999999404,0,1,0,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,10,null,3,7,8,null,null,4,2,1,null,GW/Ship.png,null,GW/Canoe.png,GW/Leaf.png,GW/Pool.png,85.178,85.178,86.26059999999404,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,13,null,6,7,12,null,null,2,1,4,null,GW/Tree.png,null,GW/Football.png,GW/Leaf.png,GW/Train.png,87.14,87.14,88.10040000000596,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,11,null,13,8,3,null,null,3,2,1,null,GW/Skis.png,null,GW/Tree.png,GW/Pool.png,GW/Canoe.png,89.65,89.65,91.15820000001789,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,6,null,8,7,10,null,null,2,1,3,null,GW/Football.png,null,GW/Pool.png,GW/Leaf.png,GW/Ship.png,91.82,91.82,92.988,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,4,null,9,11,2,null,null,3,2,1,null,GW/Wheel.png,null,GW/Potato.png,GW/Skis.png,GW/Cactus.png,95.692,95.692,98.56209999999405,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,7,null,2,11,6,null,null,3,2,1,null,GW/Leaf.png,null,GW/Cactus.png,GW/Skis.png,GW/Football.png,98.992,98.992,101.29030000001192,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,5ea63190173fb765f87a89a8,interleaved,Direct,null,4,null,5,8,1,null,null,1,4,2,null,GW/Wheel.png,null,GW/Fish.png,GW/Pool.png,GW/Buffalo.png,101.843,101.843,103.69240000000596,0,1,0,5,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
