trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.251,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,3,null,6,10,4,null,null,1,4,2,null,GW/Canoe.png,null,GW/Football.png,GW/Ship.png,GW/Wheel.png,18.109,18.109,19.597600000000092,0,1,0,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,2,null,11,1,8,null,null,2,1,4,null,GW/Cactus.png,null,GW/Skis.png,GW/Buffalo.png,GW/Pool.png,20.788,20.788,22.462299999999814,0,2,1,1,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,7,null,2,3,6,null,null,3,2,1,null,GW/Leaf.png,null,GW/Cactus.png,GW/Canoe.png,GW/Football.png,23.284,23.284,24.776600000000094,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,3,null,13,4,2,null,null,3,2,1,null,GW/Canoe.png,null,GW/Tree.png,GW/Wheel.png,GW/Cactus.png,26.136,26.136,27.984,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,7,null,12,3,13,null,null,3,2,1,null,GW/Leaf.png,null,GW/Train.png,GW/Canoe.png,GW/Tree.png,28.287,28.287,29.43330000000028,0,2,1,13,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,4,null,7,1,2,null,null,4,2,1,null,GW/Wheel.png,null,GW/Leaf.png,GW/Buffalo.png,GW/Cactus.png,32.152,32.152,35.01209999999963,0,1,0,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,8,null,9,3,13,null,null,1,3,2,null,GW/Pool.png,null,GW/Potato.png,GW/Canoe.png,GW/Tree.png,34.356,34.356,35.555700000000186,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,2,null,4,7,5,null,null,1,3,2,null,GW/Cactus.png,null,GW/Wheel.png,GW/Leaf.png,GW/Fish.png,36.641,36.641,37.9215,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,60ff7c8f4f066ccf6fe05587,interleaved,Direct,null,7,null,1,11,8,null,null,4,2,1,null,GW/Leaf.png,null,GW/Buffalo.png,GW/Skis.png,GW/Pool.png,38.923,38.923,40.20039999999991,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
