trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8.134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,9,null,2,10,7,null,null,3,2,1,null,GW/Potato.png,null,GW/Cactus.png,GW/Ship.png,GW/Leaf.png,58.241,58.241,60.38570000000298,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,8,null,10,2,11,null,null,1,4,2,null,GW/Pool.png,null,GW/Ship.png,GW/Cactus.png,GW/Skis.png,60.595,60.595,61.94319999999553,0,1,0,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,7,null,10,13,12,null,null,2,1,3,null,GW/Leaf.png,null,GW/Ship.png,GW/Tree.png,GW/Train.png,63.041,63.041,64.47760000000149,0,2,1,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,11,null,10,4,9,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Wheel.png,GW/Potato.png,66.004,66.004,67.959,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,6,null,7,12,11,null,null,1,3,2,null,GW/Football.png,null,GW/Leaf.png,GW/Train.png,GW/Skis.png,68.091,68.091,69.15989999999852,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,1,null,11,3,2,null,null,3,2,1,null,GW/Buffalo.png,null,GW/Skis.png,GW/Canoe.png,GW/Cactus.png,69.999,69.999,70.89469999999552,0,3,2,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,6,null,13,3,5,null,null,2,1,4,null,GW/Football.png,null,GW/Tree.png,GW/Canoe.png,GW/Fish.png,72.488,72.488,73.97270000000297,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,7,null,8,12,3,null,null,1,3,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Train.png,GW/Canoe.png,74.879,74.879,76.25970000000298,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,11,null,13,8,3,null,null,3,2,1,null,GW/Skis.png,null,GW/Tree.png,GW/Pool.png,GW/Canoe.png,77.698,77.698,79.50090000000596,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,13,null,3,6,7,null,null,3,2,1,null,GW/Tree.png,null,GW/Canoe.png,GW/Football.png,GW/Leaf.png,80.149,80.149,81.5915,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,6,null,9,5,11,null,null,1,4,2,null,GW/Football.png,null,GW/Potato.png,GW/Fish.png,GW/Skis.png,82.557,82.557,83.95870000000298,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,2,null,11,4,7,null,null,2,1,3,null,GW/Cactus.png,null,GW/Skis.png,GW/Wheel.png,GW/Leaf.png,85.579,85.579,87.58980000000447,0,2,1,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,7,null,6,1,3,null,null,1,4,2,null,GW/Leaf.png,null,GW/Football.png,GW/Buffalo.png,GW/Canoe.png,87.859,87.859,89.1235,0,1,0,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,2,null,1,9,5,null,null,1,3,2,null,GW/Cactus.png,null,GW/Buffalo.png,GW/Potato.png,GW/Fish.png,89.704,89.704,90.542,0,1,0,1,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,3,null,12,6,13,null,null,2,1,3,null,GW/Canoe.png,null,GW/Train.png,GW/Football.png,GW/Tree.png,93.723,93.723,96.72789999999851,0,2,1,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,62853fe01fa0d21c4daacfcb,interleaved,Direct,null,8,null,12,11,9,null,null,3,2,1,null,GW/Pool.png,null,GW/Train.png,GW/Skis.png,GW/Potato.png,96.477,96.477,98.22179999999702,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
