trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,663557f1ddd96308299e1015,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.336,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,2,null,9,6,3,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Football.png,GW/Canoe.png,54.605,54.605,57.883,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,11,null,4,9,1,null,null,2,1,3,null,GW/Skis.png,null,GW/Wheel.png,GW/Potato.png,GW/Buffalo.png,57.879,57.879,60.145,0,1,0,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,4,null,7,11,5,null,null,4,2,1,null,GW/Wheel.png,null,GW/Leaf.png,GW/Skis.png,GW/Fish.png,61.356,61.356,63.819,0,3,2,5,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,7,null,10,8,2,null,null,2,1,3,null,GW/Leaf.png,null,GW/Ship.png,GW/Pool.png,GW/Cactus.png,63.82,63.82,65.278,0,2,1,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,3,null,11,8,9,null,null,1,3,2,null,GW/Canoe.png,null,GW/Skis.png,GW/Pool.png,GW/Potato.png,68.974,68.974,73.123,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,7,null,13,1,10,null,null,1,4,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Buffalo.png,GW/Ship.png,71.491,71.491,73.002,0,1,0,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,3,null,4,2,5,null,null,2,1,3,null,GW/Canoe.png,null,GW/Wheel.png,GW/Cactus.png,GW/Fish.png,76.866,76.866,81.235,0,2,1,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,6,null,5,8,7,null,null,4,2,1,null,GW/Football.png,null,GW/Fish.png,GW/Pool.png,GW/Leaf.png,80.177,80.177,82.484,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,11,null,4,12,5,null,null,2,1,3,null,GW/Skis.png,null,GW/Wheel.png,GW/Train.png,GW/Fish.png,82.953,82.953,84.722,0,2,1,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,6,null,1,11,9,null,null,3,2,1,null,GW/Football.png,null,GW/Buffalo.png,GW/Skis.png,GW/Potato.png,84.982,84.982,86.004,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,8,null,7,3,6,null,null,1,3,2,null,GW/Pool.png,null,GW/Leaf.png,GW/Canoe.png,GW/Football.png,87.256,87.256,88.525,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,1,null,2,12,4,null,null,1,3,2,null,GW/Buffalo.png,null,GW/Cactus.png,GW/Train.png,GW/Wheel.png,89.42,89.42,90.579,0,1,0,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,9,null,12,8,2,null,null,2,1,3,null,GW/Potato.png,null,GW/Train.png,GW/Pool.png,GW/Cactus.png,92.486,92.486,94.546,0,2,1,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,12,null,10,3,11,null,null,4,2,1,null,GW/Train.png,null,GW/Ship.png,GW/Canoe.png,GW/Skis.png,95.546,95.546,97.599,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,9,null,7,5,3,null,null,1,4,2,null,GW/Potato.png,null,GW/Leaf.png,GW/Fish.png,GW/Canoe.png,97.913,97.913,99.275,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,10,null,9,8,13,null,null,2,1,3,null,GW/Ship.png,null,GW/Potato.png,GW/Pool.png,GW/Tree.png,100.014,100.014,101.11,0,2,1,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,7,null,1,10,6,null,null,4,2,1,null,GW/Leaf.png,null,GW/Buffalo.png,GW/Ship.png,GW/Football.png,102.77,102.77,104.52,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,5,null,11,2,4,null,null,3,2,1,null,GW/Fish.png,null,GW/Skis.png,GW/Cactus.png,GW/Wheel.png,105.27,105.27,106.763,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,9,null,6,2,3,null,null,1,3,2,null,GW/Potato.png,null,GW/Football.png,GW/Cactus.png,GW/Canoe.png,107.328,107.328,108.375,0,1,0,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,13,null,7,12,6,null,null,1,4,2,null,GW/Tree.png,null,GW/Leaf.png,GW/Train.png,GW/Football.png,109.328,109.328,110.281,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,3,null,7,6,8,null,null,2,1,3,null,GW/Canoe.png,null,GW/Leaf.png,GW/Football.png,GW/Pool.png,113.343,113.343,116.349,0,2,1,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,7,null,2,3,9,null,null,3,2,1,null,GW/Leaf.png,null,GW/Cactus.png,GW/Canoe.png,GW/Potato.png,116.429,116.429,118.507,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,8,null,2,6,10,null,null,4,2,1,null,GW/Pool.png,null,GW/Cactus.png,GW/Football.png,GW/Ship.png,119.121,119.121,120.806,0,3,2,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,4,null,12,7,3,null,null,1,4,2,null,GW/Wheel.png,null,GW/Train.png,GW/Leaf.png,GW/Canoe.png,122.205,122.205,124.282,0,1,0,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,8,null,2,6,9,null,null,4,2,1,null,GW/Pool.png,null,GW/Cactus.png,GW/Football.png,GW/Potato.png,126.219,126.219,129.224,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,12,null,6,3,4,null,null,3,2,1,null,GW/Train.png,null,GW/Football.png,GW/Canoe.png,GW/Wheel.png,129.22,129.22,131.215,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,6,null,12,13,3,null,null,3,2,1,null,GW/Football.png,null,GW/Train.png,GW/Tree.png,GW/Canoe.png,132.735,132.735,135.245,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,4,null,6,11,2,null,null,3,2,1,null,GW/Wheel.png,null,GW/Football.png,GW/Skis.png,GW/Cactus.png,134.918,134.918,136.088,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,11,null,10,8,3,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Pool.png,GW/Canoe.png,138.984,138.984,142.044,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,2,null,12,4,13,null,null,2,1,4,null,GW/Cactus.png,null,GW/Train.png,GW/Wheel.png,GW/Tree.png,142.405,142.405,144.818,0,2,1,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,9,null,5,12,11,null,null,4,2,1,null,GW/Potato.png,null,GW/Fish.png,GW/Train.png,GW/Skis.png,146.746,146.746,150.08,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,663557f1ddd96308299e1015,interleaved,Direct,null,2,null,7,11,1,null,null,3,2,1,null,GW/Cactus.png,null,GW/Leaf.png,GW/Skis.png,GW/Buffalo.png,149.513,149.513,151.263,0,3,2,1,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
