trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5.286,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,7,null,10,13,12,null,null,2,1,3,null,GW/Leaf.png,null,GW/Ship.png,GW/Tree.png,GW/Train.png,66.333,66.333,71.81779999995231,0,2,1,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,8,null,3,11,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Canoe.png,GW/Skis.png,GW/Ship.png,73.836,73.836,73.836,0,-48,-49,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,13,null,7,3,8,null,null,1,3,2,null,GW/Tree.png,null,GW/Leaf.png,GW/Canoe.png,GW/Pool.png,80.654,80.654,83.46539999985694,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,11,null,2,3,5,null,null,2,1,3,null,GW/Skis.png,null,GW/Cactus.png,GW/Canoe.png,GW/Fish.png,84.334,84.334,87.01129999995231,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,12,null,10,9,4,null,null,4,2,1,null,GW/Train.png,null,GW/Ship.png,GW/Potato.png,GW/Wheel.png,87.065,87.065,88.79029999995231,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,3,null,9,11,13,null,null,2,1,3,null,GW/Canoe.png,null,GW/Potato.png,GW/Skis.png,GW/Tree.png,90.625,90.625,93.18090000009536,0,2,1,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,8,null,9,2,13,null,null,1,4,2,null,GW/Pool.png,null,GW/Potato.png,GW/Cactus.png,GW/Tree.png,94.419,94.419,97.21,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66436e0c091888a5fc85584e,interleaved,Direct,null,12,null,6,2,11,null,null,3,2,1,null,GW/Train.png,null,GW/Football.png,GW/Cactus.png,GW/Skis.png,98.572,98.572,101.72279999995231,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
