trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6.332,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,7,null,12,3,8,null,null,3,2,1,null,GW/Leaf.png,null,GW/Train.png,GW/Canoe.png,GW/Pool.png,19.735,19.735,22.108299999952315,0,1,0,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,4,null,6,3,12,null,null,3,2,1,null,GW/Wheel.png,null,GW/Football.png,GW/Canoe.png,GW/Train.png,22.893,22.893,25.0365,0,2,1,12,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,7,null,4,10,6,null,null,4,2,1,null,GW/Leaf.png,null,GW/Wheel.png,GW/Ship.png,GW/Football.png,24.8,24.8,25.702,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,10,null,8,12,7,null,null,1,4,2,null,GW/Ship.png,null,GW/Pool.png,GW/Train.png,GW/Leaf.png,26.4,26.4,26.990700000047685,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,2,null,11,4,13,null,null,2,1,4,null,GW/Cactus.png,null,GW/Skis.png,GW/Wheel.png,GW/Tree.png,28.847,28.847,30.285900000095367,0,2,1,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,8,null,9,3,13,null,null,1,3,2,null,GW/Pool.png,null,GW/Potato.png,GW/Canoe.png,GW/Tree.png,31.178,31.178,32.49140000009537,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,4,null,3,5,6,null,null,2,1,3,null,GW/Wheel.png,null,GW/Canoe.png,GW/Fish.png,GW/Football.png,34.509,34.509,36.829200000047685,0,1,0,5,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,3,null,6,8,7,null,null,1,3,2,null,GW/Canoe.png,null,GW/Football.png,GW/Pool.png,GW/Leaf.png,37.097,37.097,38.66729999995231,0,2,1,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,11,null,7,9,13,null,null,2,1,3,null,GW/Skis.png,null,GW/Leaf.png,GW/Potato.png,GW/Tree.png,41.559,41.559,45.005900000095366,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,6,null,4,8,3,null,null,3,2,1,null,GW/Football.png,null,GW/Wheel.png,GW/Pool.png,GW/Canoe.png,47.042,47.042,51.51409999990463,0,2,1,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,9,null,1,10,8,null,null,4,2,1,null,GW/Potato.png,null,GW/Buffalo.png,GW/Ship.png,GW/Pool.png,49.909,49.909,51.76679999995232,0,1,0,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,2,null,9,12,3,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Train.png,GW/Canoe.png,52.739,52.739,54.55810000014305,0,2,1,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,7,null,9,4,11,null,null,1,4,2,null,GW/Leaf.png,null,GW/Potato.png,GW/Wheel.png,GW/Skis.png,54.751,54.751,55.75460000014305,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,11,null,2,3,10,null,null,2,1,3,null,GW/Skis.png,null,GW/Cactus.png,GW/Canoe.png,GW/Ship.png,57.545,57.545,59.327599999904635,0,1,0,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66a314d2262f10fea744ca1c,interleaved,Direct,null,13,null,2,9,7,null,null,4,2,1,null,GW/Tree.png,null,GW/Cactus.png,GW/Potato.png,GW/Leaf.png,59.617,59.617,60.670799999952315,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
