trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.863,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,7,null,12,10,9,null,null,3,2,1,null,GW/Leaf.png,null,GW/Train.png,GW/Ship.png,GW/Potato.png,16.324,16.324,18.96569999998808,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,8,null,12,11,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Train.png,GW/Skis.png,GW/Ship.png,20.067,20.067,22.806,0,2,1,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,4,null,9,11,5,null,null,3,2,1,null,GW/Wheel.png,null,GW/Potato.png,GW/Skis.png,GW/Fish.png,24.714,24.714,28.357900000035762,0,2,1,5,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,2,null,12,1,13,null,null,2,1,4,null,GW/Cactus.png,null,GW/Train.png,GW/Buffalo.png,GW/Tree.png,28.436,28.436,31.155299999952316,0,2,1,1,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,9,null,10,11,2,null,null,2,1,3,null,GW/Potato.png,null,GW/Ship.png,GW/Skis.png,GW/Cactus.png,32.503,32.503,35.56730000001192,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,4,null,2,8,11,null,null,1,4,2,null,GW/Wheel.png,null,GW/Cactus.png,GW/Pool.png,GW/Skis.png,36.328,36.328,39.15010000002384,0,3,2,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,7,null,13,2,11,null,null,1,3,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Cactus.png,GW/Skis.png,40.974,40.974,44.61730000001192,0,1,0,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,1,null,7,3,2,null,null,4,2,1,null,GW/Buffalo.png,null,GW/Leaf.png,GW/Canoe.png,GW/Cactus.png,44.421,44.421,46.86519999998808,0,3,2,2,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,3,null,6,8,12,null,null,1,3,2,null,GW/Canoe.png,null,GW/Football.png,GW/Pool.png,GW/Train.png,47.469,47.469,49.515,0,3,2,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,10,null,8,13,9,null,null,1,3,2,null,GW/Ship.png,null,GW/Pool.png,GW/Tree.png,GW/Potato.png,52.089,52.089,55.705300000011924,0,2,1,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,6,null,9,10,8,null,null,1,3,2,null,GW/Football.png,null,GW/Potato.png,GW/Ship.png,GW/Pool.png,54.271,54.271,55.45030000001192,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,12,null,4,6,5,null,null,1,3,2,null,GW/Train.png,null,GW/Wheel.png,GW/Football.png,GW/Fish.png,58.833,58.833,62.39189999997616,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66ba7e4126d266ff3cdf6d79,interleaved,Direct,null,9,null,4,12,8,null,null,3,2,1,null,GW/Potato.png,null,GW/Wheel.png,GW/Train.png,GW/Pool.png,62.596,62.596,65.3555,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
