trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13.807,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,13,null,7,10,6,null,null,1,3,2,null,GW/Tree.png,null,GW/Leaf.png,GW/Ship.png,GW/Football.png,107.868,107.868,112.38679999999702,0,2,1,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,3,null,4,6,13,null,null,2,1,3,null,GW/Canoe.png,null,GW/Wheel.png,GW/Football.png,GW/Tree.png,111.081,111.081,113.28670000000298,0,1,0,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,7,null,13,2,10,null,null,1,3,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Cactus.png,GW/Ship.png,114.708,114.708,117.329,0,3,2,13,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,8,null,6,10,4,null,null,2,1,4,null,GW/Pool.png,null,GW/Football.png,GW/Ship.png,GW/Wheel.png,117.45,117.45,119.18239999999106,0,2,1,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,6,null,12,13,7,null,null,3,2,1,null,GW/Football.png,null,GW/Train.png,GW/Tree.png,GW/Leaf.png,120.165,120.165,121.87069999998808,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,2,null,4,7,6,null,null,1,3,2,null,GW/Cactus.png,null,GW/Wheel.png,GW/Leaf.png,GW/Football.png,122.837,122.837,124.50259999999403,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,8,null,2,6,7,null,null,4,2,1,null,GW/Pool.png,null,GW/Cactus.png,GW/Football.png,GW/Leaf.png,125.905,125.905,127.96520000000298,0,1,0,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,6,null,9,10,2,null,null,1,3,2,null,GW/Football.png,null,GW/Potato.png,GW/Ship.png,GW/Cactus.png,129.871,129.871,132.83329999999702,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,4,null,12,8,3,null,null,1,4,2,null,GW/Wheel.png,null,GW/Train.png,GW/Pool.png,GW/Canoe.png,133.084,133.084,135.29169999998808,0,1,0,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,7,null,9,1,11,null,null,1,4,2,null,GW/Leaf.png,null,GW/Potato.png,GW/Buffalo.png,GW/Skis.png,136.286,136.286,138.48320000000297,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,10,null,11,7,8,null,null,3,2,1,null,GW/Ship.png,null,GW/Skis.png,GW/Leaf.png,GW/Pool.png,139.049,139.049,140.80810000000895,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,6,null,3,1,13,null,null,1,3,2,null,GW/Football.png,null,GW/Canoe.png,GW/Buffalo.png,GW/Tree.png,142.437,142.437,144.82240000000596,0,1,0,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,9,null,4,10,7,null,null,3,2,1,null,GW/Potato.png,null,GW/Wheel.png,GW/Ship.png,GW/Leaf.png,145.448,145.448,147.453200000003,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,2,null,3,8,11,null,null,1,4,2,null,GW/Cactus.png,null,GW/Canoe.png,GW/Pool.png,GW/Skis.png,148.731,148.731,151.00629999999703,0,2,1,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,7,null,8,12,11,null,null,1,3,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Train.png,GW/Skis.png,151.908,151.908,154.06840000000597,0,2,1,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,3,null,12,2,10,null,null,2,1,4,null,GW/Canoe.png,null,GW/Train.png,GW/Cactus.png,GW/Ship.png,156.866,156.866,160.81470000000297,0,3,2,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,7,null,6,4,10,null,null,1,4,2,null,GW/Leaf.png,null,GW/Football.png,GW/Wheel.png,GW/Ship.png,159.637,159.637,161.406,0,1,0,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,9,null,8,5,13,null,null,1,4,2,null,GW/Potato.png,null,GW/Pool.png,GW/Fish.png,GW/Tree.png,163.762,163.762,166.87679999999702,0,3,2,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,3,null,8,12,11,null,null,3,2,1,null,GW/Canoe.png,null,GW/Pool.png,GW/Train.png,GW/Skis.png,166.24,166.24,167.69940000000597,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,4,null,9,11,5,null,null,3,2,1,null,GW/Wheel.png,null,GW/Potato.png,GW/Skis.png,GW/Fish.png,168.95,168.95,170.65159999999403,0,3,2,5,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,11,null,3,10,4,null,null,1,3,2,null,GW/Skis.png,null,GW/Canoe.png,GW/Ship.png,GW/Wheel.png,171.577,171.577,173.193299999997,0,1,0,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,1,null,11,4,2,null,null,3,2,1,null,GW/Buffalo.png,null,GW/Skis.png,GW/Wheel.png,GW/Cactus.png,173.839,173.839,175.09429999999702,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,11,null,9,13,4,null,null,1,3,2,null,GW/Skis.png,null,GW/Potato.png,GW/Tree.png,GW/Wheel.png,178.344,178.344,181.837,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,4,null,2,8,1,null,null,1,4,2,null,GW/Wheel.png,null,GW/Cactus.png,GW/Pool.png,GW/Buffalo.png,180.868,180.868,182.38759999999405,0,2,1,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,12,null,1,3,11,null,null,3,2,1,null,GW/Train.png,null,GW/Buffalo.png,GW/Canoe.png,GW/Skis.png,184.236,184.236,186.599,0,2,1,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,2,null,1,13,12,null,null,1,4,2,null,GW/Cactus.png,null,GW/Buffalo.png,GW/Tree.png,GW/Train.png,187.181,187.181,189.11679999999703,0,2,1,1,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,11,null,10,4,12,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Wheel.png,GW/Train.png,191.155,191.155,194.12260000000893,0,2,1,12,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,8,null,9,3,11,null,null,1,3,2,null,GW/Pool.png,null,GW/Potato.png,GW/Canoe.png,GW/Skis.png,195.386,195.386,198.6075,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,12,null,9,4,13,null,null,2,1,4,null,GW/Train.png,null,GW/Potato.png,GW/Wheel.png,GW/Tree.png,199.752,199.752,203.11180000001193,0,2,1,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,9,null,6,4,3,null,null,1,3,2,null,GW/Potato.png,null,GW/Football.png,GW/Wheel.png,GW/Canoe.png,203.654,203.654,206.54729999999702,0,1,0,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,5,null,4,9,12,null,null,1,4,2,null,GW/Fish.png,null,GW/Wheel.png,GW/Potato.png,GW/Train.png,207.108,207.108,209.55429999999703,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
Replication_Day2,66c5118758e462c3fe742d2a,interleaved,Direct,null,9,null,10,11,2,null,null,2,1,3,null,GW/Potato.png,null,GW/Ship.png,GW/Skis.png,GW/Cactus.png,212.005,212.005,215.89539999999107,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,2
