trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26.491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,6,null,9,12,2,null,null,1,3,2,null,GW/Football.png,null,GW/Potato.png,GW/Train.png,GW/Cactus.png,55.984,55.984,60.875,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,11,null,8,3,10,null,null,2,1,3,null,GW/Skis.png,null,GW/Pool.png,GW/Canoe.png,GW/Ship.png,60.865,60.865,64.741,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,2,null,9,11,4,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Skis.png,GW/Wheel.png,66.666,66.666,71.463,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,7,null,11,13,1,null,null,2,1,4,null,GW/Leaf.png,null,GW/Skis.png,GW/Tree.png,GW/Buffalo.png,71.233,71.233,74.798,0,1,0,13,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,9,null,5,3,6,null,null,4,2,1,null,GW/Potato.png,null,GW/Fish.png,GW/Canoe.png,GW/Football.png,76.52,76.52,80.805,0,2,1,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,8,null,7,4,6,null,null,1,4,2,null,GW/Pool.png,null,GW/Leaf.png,GW/Wheel.png,GW/Football.png,83.77,83.77,90.015,0,2,1,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,4,null,6,11,12,null,null,3,2,1,null,GW/Wheel.png,null,GW/Football.png,GW/Skis.png,GW/Train.png,89.777,89.777,94.783,0,3,2,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,8,null,4,11,10,null,null,4,2,1,null,GW/Pool.png,null,GW/Wheel.png,GW/Skis.png,GW/Ship.png,95.273,95.273,99.765,0,3,2,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,13,null,11,9,7,null,null,3,2,1,null,GW/Tree.png,null,GW/Skis.png,GW/Potato.png,GW/Leaf.png,102.049,102.049,107.822,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,11,null,12,10,4,null,null,1,3,2,null,GW/Skis.png,null,GW/Train.png,GW/Ship.png,GW/Wheel.png,108.129,108.129,113.207,0,1,0,12,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,7,null,1,11,9,null,null,4,2,1,null,GW/Leaf.png,null,GW/Buffalo.png,GW/Skis.png,GW/Potato.png,111.545,111.545,113.895,0,2,1,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,66e4c4358de330a06b4d33f1,interleaved,Direct,null,6,null,3,12,8,null,null,1,3,2,null,GW/Football.png,null,GW/Canoe.png,GW/Train.png,GW/Pool.png,119.05,119.05,119.05,0,-48,-49,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
