trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.93,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,7,null,13,12,10,null,null,1,3,2,null,GW/Leaf.png,null,GW/Tree.png,GW/Train.png,GW/Ship.png,73.021,73.021,77.6405,0,1,0,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,11,null,10,2,9,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Cactus.png,GW/Potato.png,77.917,77.917,81.8055,0,2,1,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,6,null,2,7,12,null,null,2,1,3,null,GW/Football.png,null,GW/Cactus.png,GW/Leaf.png,GW/Train.png,82.411,82.411,85.90170000000298,0,1,0,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,2,null,3,13,11,null,null,1,4,2,null,GW/Cactus.png,null,GW/Canoe.png,GW/Tree.png,GW/Skis.png,86.352,86.352,89.26979999999702,0,2,1,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,12,null,8,3,4,null,null,3,2,1,null,GW/Train.png,null,GW/Pool.png,GW/Canoe.png,GW/Wheel.png,92.053,92.053,96.73360000000149,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,8,null,12,13,10,null,null,3,2,1,null,GW/Pool.png,null,GW/Train.png,GW/Tree.png,GW/Ship.png,97.74,97.74,102.42069999999553,0,2,1,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,2,null,4,7,12,null,null,1,3,2,null,GW/Cactus.png,null,GW/Wheel.png,GW/Leaf.png,GW/Train.png,102.22,102.22,105.69319999999553,0,2,1,4,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,9,null,8,4,13,null,null,1,3,2,null,GW/Potato.png,null,GW/Pool.png,GW/Wheel.png,GW/Tree.png,106.096,106.096,108.9605,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,13,null,12,9,7,null,null,4,2,1,null,GW/Tree.png,null,GW/Train.png,GW/Potato.png,GW/Leaf.png,112.943,112.943,118.77820000000298,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,8,null,4,13,9,null,null,4,2,1,null,GW/Pool.png,null,GW/Wheel.png,GW/Tree.png,GW/Potato.png,118.338,118.338,122.72410000000149,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,4,null,2,7,1,null,null,1,4,2,null,GW/Wheel.png,null,GW/Cactus.png,GW/Leaf.png,GW/Buffalo.png,124.753,124.753,130.14970000000298,0,3,2,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,9,null,5,12,6,null,null,4,2,1,null,GW/Potato.png,null,GW/Fish.png,GW/Train.png,GW/Football.png,128.911,128.911,132.0585,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,7,null,3,8,12,null,null,2,1,3,null,GW/Leaf.png,null,GW/Canoe.png,GW/Pool.png,GW/Train.png,134.462,134.462,139.002700000003,0,1,0,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,9,null,11,2,12,null,null,1,3,2,null,GW/Potato.png,null,GW/Skis.png,GW/Cactus.png,GW/Train.png,139.28,139.28,143.079,0,1,0,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,3,null,12,2,13,null,null,2,1,3,null,GW/Canoe.png,null,GW/Train.png,GW/Cactus.png,GW/Tree.png,146.133,146.133,151.97280000000447,0,1,0,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,7,null,10,9,2,null,null,2,1,3,null,GW/Leaf.png,null,GW/Ship.png,GW/Potato.png,GW/Cactus.png,149.642,149.642,152.143,0,3,2,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,66f0c81ea46a554aeb92cd04,interleaved,Direct,null,10,null,8,11,7,null,null,1,3,2,null,GW/Ship.png,null,GW/Pool.png,GW/Skis.png,GW/Leaf.png,153.228,153.228,155.8008999999985,0,2,1,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
