trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6.182,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,7,null,12,10,9,null,null,3,2,1,null,GW/Leaf.png,null,GW/Train.png,GW/Ship.png,GW/Potato.png,18.953,18.953,21.104,0,2,1,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,2,null,13,11,4,null,null,4,2,1,null,GW/Cactus.png,null,GW/Tree.png,GW/Skis.png,GW/Wheel.png,23.987,23.987,28.00720000000001,0,3,2,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,8,null,7,4,11,null,null,1,4,2,null,GW/Pool.png,null,GW/Leaf.png,GW/Wheel.png,GW/Skis.png,27.447,27.447,29.9005,0,2,1,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,6,null,11,3,1,null,null,2,1,3,null,GW/Football.png,null,GW/Skis.png,GW/Canoe.png,GW/Buffalo.png,31.033,31.033,33.60439999999999,0,1,0,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,9,null,4,12,8,null,null,3,2,1,null,GW/Potato.png,null,GW/Wheel.png,GW/Train.png,GW/Pool.png,34.83,34.83,37.616,0,1,0,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,3,null,9,6,10,null,null,2,1,4,null,GW/Canoe.png,null,GW/Potato.png,GW/Football.png,GW/Ship.png,37.673,37.673,39.498,0,3,2,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,5,null,4,11,12,null,null,1,3,2,null,GW/Fish.png,null,GW/Wheel.png,GW/Skis.png,GW/Train.png,40.138,40.138,41.593399999999995,0,2,1,4,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,13,null,7,11,9,null,null,1,3,2,null,GW/Tree.png,null,GW/Leaf.png,GW/Skis.png,GW/Potato.png,42.936,42.936,44.73,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,671d7a754bafa85dac6e0683,interleaved,Direct,null,8,null,6,10,12,null,null,2,1,3,null,GW/Pool.png,null,GW/Football.png,GW/Ship.png,GW/Train.png,45.727,45.727,47.509,0,3,2,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
