trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3.721,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,9,null,6,1,12,null,null,1,4,2,null,GW/Potato.png,null,GW/Football.png,GW/Buffalo.png,GW/Train.png,33.877,33.877,33.877,0,-48,-49,6,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,4,null,11,5,6,null,null,2,1,3,null,GW/Wheel.png,null,GW/Skis.png,GW/Fish.png,GW/Football.png,41.708,41.708,45.525,0,1,0,5,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,8,null,10,3,11,null,null,1,3,2,null,GW/Pool.png,null,GW/Ship.png,GW/Canoe.png,GW/Skis.png,44.263,44.263,45.81509999999404,0,1,0,10,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,7,null,1,3,13,null,null,4,2,1,null,GW/Leaf.png,null,GW/Buffalo.png,GW/Canoe.png,GW/Tree.png,50.76,50.76,56.252,0,3,2,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,9,null,2,3,11,null,null,3,2,1,null,GW/Potato.png,null,GW/Cactus.png,GW/Canoe.png,GW/Skis.png,55.294,55.294,58.82340000000596,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,7,null,2,11,6,null,null,3,2,1,null,GW/Leaf.png,null,GW/Cactus.png,GW/Skis.png,GW/Football.png,61.706,61.706,67.1145,0,3,2,6,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,11,null,13,4,9,null,null,3,2,1,null,GW/Skis.png,null,GW/Tree.png,GW/Wheel.png,GW/Potato.png,64.699,64.699,66.68759999999403,0,2,1,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,6,null,3,5,8,null,null,1,4,2,null,GW/Football.png,null,GW/Canoe.png,GW/Fish.png,GW/Pool.png,69.361,69.361,73.01740000000596,0,1,0,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,9,null,7,4,3,null,null,1,3,2,null,GW/Potato.png,null,GW/Leaf.png,GW/Wheel.png,GW/Canoe.png,76.865,76.865,76.865,0,-48,-49,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,5,null,4,1,12,null,null,1,3,2,null,GW/Fish.png,null,GW/Wheel.png,GW/Buffalo.png,GW/Train.png,84.264,84.264,87.65609999999404,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,3,null,2,13,9,null,null,1,3,2,null,GW/Canoe.png,null,GW/Cactus.png,GW/Tree.png,GW/Potato.png,87.618,87.618,89.96720000001788,0,3,2,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,12,null,7,5,11,null,null,3,2,1,null,GW/Train.png,null,GW/Leaf.png,GW/Fish.png,GW/Skis.png,90.441,90.441,92.25980000001192,0,3,2,11,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,6,null,7,5,8,null,null,1,4,2,null,GW/Football.png,null,GW/Leaf.png,GW/Fish.png,GW/Pool.png,93.056,93.056,94.66709999999404,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,11,null,10,8,3,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Pool.png,GW/Canoe.png,98.121,98.121,102.18179999998212,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,7,null,8,12,10,null,null,1,3,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Train.png,GW/Ship.png,101.389,101.389,103.64690000000596,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,6,null,9,10,2,null,null,1,3,2,null,GW/Football.png,null,GW/Potato.png,GW/Ship.png,GW/Cactus.png,104.774,104.774,107.155,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,12,null,3,4,7,null,null,2,1,3,null,GW/Train.png,null,GW/Canoe.png,GW/Wheel.png,GW/Leaf.png,107.356,107.356,108.93440000000597,0,2,1,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,1,null,3,2,5,null,null,2,1,3,null,GW/Buffalo.png,null,GW/Canoe.png,GW/Cactus.png,GW/Fish.png,111.37,111.37,114.38119999998808,0,1,0,2,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,8,null,4,13,9,null,null,4,2,1,null,GW/Pool.png,null,GW/Wheel.png,GW/Tree.png,GW/Potato.png,117.028,117.028,121.6765,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,13,null,11,9,7,null,null,3,2,1,null,GW/Tree.png,null,GW/Skis.png,GW/Potato.png,GW/Leaf.png,120.353,120.353,122.674,0,3,2,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,10,null,8,11,7,null,null,1,3,2,null,GW/Ship.png,null,GW/Pool.png,GW/Skis.png,GW/Leaf.png,122.587,122.587,123.81769999998808,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,7,null,9,4,11,null,null,1,4,2,null,GW/Leaf.png,null,GW/Potato.png,GW/Wheel.png,GW/Skis.png,129.377,129.377,135.16170000001787,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,2,null,9,6,3,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Football.png,GW/Canoe.png,132.448,132.448,134.50339999997615,0,3,2,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67d4ab2b6bcf2affcb4d66ec,interleaved,Direct,null,8,null,6,7,2,null,null,2,1,4,null,GW/Pool.png,null,GW/Football.png,GW/Leaf.png,GW/Cactus.png,135.375,135.375,137.29770000001787,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
