trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.473,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,8,null,7,4,11,null,null,1,4,2,null,GW/Pool.png,null,GW/Leaf.png,GW/Wheel.png,GW/Skis.png,116.363,116.363,116.363,0,-48,-49,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,2,null,9,6,3,null,null,3,2,1,null,GW/Cactus.png,null,GW/Potato.png,GW/Football.png,GW/Canoe.png,126.869,126.869,126.869,0,-48,-49,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,12,null,4,7,3,null,null,1,3,2,null,GW/Train.png,null,GW/Wheel.png,GW/Leaf.png,GW/Canoe.png,134.166,134.166,137.4602999999821,0,1,0,4,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,7,null,8,2,10,null,null,1,3,2,null,GW/Leaf.png,null,GW/Pool.png,GW/Cactus.png,GW/Ship.png,139.233,139.233,143.29830000001192,0,1,0,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,6,null,5,13,9,null,null,4,2,1,null,GW/Football.png,null,GW/Fish.png,GW/Tree.png,GW/Potato.png,143.215,143.215,146.1955,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,13,null,9,7,3,null,null,2,1,3,null,GW/Tree.png,null,GW/Potato.png,GW/Leaf.png,GW/Canoe.png,146.447,146.447,148.67720000001788,0,2,1,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
Replication_Day2,67eec9e200be02ad51843d9b,interleaved,Direct,null,8,null,2,13,9,null,null,4,2,1,null,GW/Pool.png,null,GW/Cactus.png,GW/Tree.png,GW/Potato.png,150.647,150.647,153.84509999999403,0,3,2,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0
