trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,77.075,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,11,null,3,13,8,null,null,1,3,2,null,GW/Skis.png,null,GW/Canoe.png,GW/Tree.png,GW/Pool.png,172.878,172.878,176.85479999999703,0,1,0,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,8,null,2,6,7,null,null,4,2,1,null,GW/Pool.png,null,GW/Cactus.png,GW/Football.png,GW/Leaf.png,175.148,175.148,176.40970000000297,0,2,1,7,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,12,null,2,11,13,null,null,2,1,4,null,GW/Train.png,null,GW/Cactus.png,GW/Skis.png,GW/Tree.png,178.07,178.07,179.9885,0,3,2,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,9,null,1,13,8,null,null,4,2,1,null,GW/Potato.png,null,GW/Buffalo.png,GW/Tree.png,GW/Pool.png,180.605,180.605,182.13530000000446,0,3,2,8,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,3,null,5,7,11,null,null,3,2,1,null,GW/Canoe.png,null,GW/Fish.png,GW/Leaf.png,GW/Skis.png,185.066,185.066,188.51630000000446,0,1,0,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,7,null,3,13,1,null,null,2,1,4,null,GW/Leaf.png,null,GW/Canoe.png,GW/Tree.png,GW/Buffalo.png,187.864,187.864,189.639,0,2,1,13,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,9,null,1,3,11,null,null,4,2,1,null,GW/Potato.png,null,GW/Buffalo.png,GW/Canoe.png,GW/Skis.png,190.665,190.665,192.4566000000015,0,2,1,11,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,4,null,8,1,5,null,null,4,2,1,null,GW/Wheel.png,null,GW/Pool.png,GW/Buffalo.png,GW/Fish.png,193.357,193.357,195.04269999999553,0,2,1,5,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,2,null,13,12,3,null,null,4,2,1,null,GW/Cactus.png,null,GW/Tree.png,GW/Train.png,GW/Canoe.png,197.134,197.134,199.89030000000446,0,1,0,3,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,7,null,11,8,1,null,null,2,1,4,null,GW/Leaf.png,null,GW/Skis.png,GW/Pool.png,GW/Buffalo.png,204.645,204.645,204.645,0,-48,-49,8,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,11,null,9,13,8,null,null,1,3,2,null,GW/Skis.png,null,GW/Potato.png,GW/Tree.png,GW/Pool.png,209.868,209.868,211.082799999997,0,1,0,9,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,8,null,11,10,4,null,null,2,1,4,null,GW/Pool.png,null,GW/Skis.png,GW/Ship.png,GW/Wheel.png,213.01,213.01,215.14539999999852,0,1,0,10,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,6,null,11,3,10,null,null,2,1,3,null,GW/Football.png,null,GW/Skis.png,GW/Canoe.png,GW/Ship.png,215.107,215.107,216.198,0,2,1,3,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,13,null,7,3,8,null,null,1,3,2,null,GW/Tree.png,null,GW/Leaf.png,GW/Canoe.png,GW/Pool.png,217.327,217.327,218.53489999999852,0,1,0,7,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,11,null,10,2,12,null,null,3,2,1,null,GW/Skis.png,null,GW/Ship.png,GW/Cactus.png,GW/Train.png,220.27,220.27,222.20289999999852,0,1,0,12,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,2,null,1,7,11,null,null,1,3,2,null,GW/Cactus.png,null,GW/Buffalo.png,GW/Leaf.png,GW/Skis.png,222.897,222.897,224.50680000000446,0,2,1,1,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
Replication_Day2,67f2ecf2ef369d872787cfb8,interleaved,Direct,null,7,null,1,3,9,null,null,4,2,1,null,GW/Leaf.png,null,GW/Buffalo.png,GW/Canoe.png,GW/Potato.png,226.001,226.001,228.0933999999985,0,2,1,9,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,1
