trial_type,subject_id,condition,phase,node_l,node_c,node_r,node_1,node_2,node_3,dist_l,dist_r,dist_1,dist_2,dist_3,img_l,img_c,img_r,img_1,img_2,img_3,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,node_correct,accuracy,edge_condition,specific_pairs,GDP_response,GDP_response_detour,GDP_action,GDP_action_detour,detour_type,blocked_img,Recon_response,Recon_action,too_quick,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
Replication,67f2ecf2ef369d872787cfb8,interleaved,Instruction,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,10,null,8,null,null,null,null,null,null,null,null,GW/Ship.png,null,GW/Pool.png,null,null,null,288.074,290.607,292.7505,2.5330000000000155,2,1,null,0,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,3,null,6,null,null,null,null,null,null,null,null,GW/Canoe.png,null,GW/Football.png,null,null,null,293.729,296.247,297.97739999997617,2.518000000000029,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,11,null,3,null,null,null,null,null,null,null,null,GW/Skis.png,null,GW/Canoe.png,null,null,null,299.372,301.895,303.85530000001194,2.5229999999999677,2,1,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,4,null,5,null,null,null,null,null,null,null,null,GW/Wheel.png,null,GW/Fish.png,null,null,null,305.02,307.542,309.09389999997614,2.5219999999999914,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,10,null,8,null,null,null,null,null,null,null,null,GW/Ship.png,null,GW/Pool.png,null,null,null,310.647,313.155,315.827,2.5079999999999814,2,1,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,8,null,9,null,null,null,null,null,null,null,null,GW/Pool.png,null,GW/Potato.png,null,null,null,316.269,318.787,320.60909999996426,2.5179999999999723,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,6,null,3,null,null,null,null,null,null,null,null,GW/Football.png,null,GW/Canoe.png,null,null,null,321.893,324.4,325.6933999999762,2.507000000000005,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,7,null,8,null,null,null,null,null,null,null,null,GW/Leaf.png,null,GW/Pool.png,null,null,null,327.529,330.057,332.19319999998805,2.52800000000002,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,8,null,9,null,null,null,null,null,null,null,null,GW/Pool.png,null,GW/Potato.png,null,null,null,333.168,335.701,338.0840999999642,2.5330000000000155,2,1,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,7,null,9,null,null,null,null,null,null,null,null,GW/Leaf.png,null,GW/Potato.png,null,null,null,338.822,341.347,343.4882000000477,2.5249999999999773,2,1,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,10,null,8,null,null,null,null,null,null,null,null,GW/Ship.png,null,GW/Pool.png,null,null,null,344.465,346.982,349.48909999996425,2.5170000000000528,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,11,null,9,null,null,null,null,null,null,null,null,GW/Skis.png,null,GW/Potato.png,null,null,null,350.114,352.63,354.0036000000238,2.5160000000000196,2,1,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
Replication,67f2ecf2ef369d872787cfb8,interleaved,Study,9,null,6,null,null,null,null,null,null,null,null,GW/Potato.png,null,GW/Football.png,null,null,null,355.749,358.267,360.5141999999881,2.5179999999999723,1,0,null,1,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,3
