rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
9156.400000000373,{worker_id:5b5c3b266b25590001778ea1},id_enter,9158,interleaved,replication,GW/gatlinburg.png; GW/carmel.png; GW/hanover.png; GW/racine.png; GW/huntsville.png; GW/shreveport.png; GW/westpalmbeach.png; GW/newhope.png; GW/cornwall.png; GW/peoria.png; GW/leesburg.png; GW/hotsprings.png; GW/boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498.300000000745,,fullscreen,12659,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5368.200000001118,,intro_1,18029,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7503.199999999255,,intro_2,25533,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6162.799999998882,,intro_3,31697,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,34700,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,35704,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031.4000000003725,,intro_1,37737,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8141,,intro_2,45879,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,48881,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,49884,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233.9000000003725,,intro_1,52119,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021.0999999996275,,intro_2,55141,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19528.900000000373,,intro_3,74671,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,75342,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,76077,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,78079,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
5655.699999999255,,attentioncheck_help,83738,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
