rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
10558.199999988079,{worker_id:6361eebd5327cc2337bd13ad},id_enter,10564,interleaved,replication,GW/leesburg.png; GW/racine.png; GW/westpalmbeach.png; GW/hanover.png; GW/gatlinburg.png; GW/hotsprings.png; GW/peoria.png; GW/newhope.png; GW/shreveport.png; GW/cornwall.png; GW/boulder.png; GW/huntsville.png; GW/carmel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38141.40000003576,,fullscreen,48724,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36644.40000003576,,intro_1,85380,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31268.80000001192,,intro_2,116656,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
42935.30000001192,,intro_3,159597,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,162606,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,163615,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
5566.199999988079,,intro_1,169185,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264.699999988079,,intro_2,178453,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,181458,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,182462,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
10292,,intro_1,192758,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10460.400000035763,,intro_2,203223,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
47581.39999997616,,intro_3,250811,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,251623,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,252222,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,prac_atten_color_black,254226,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,255039,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
545.3999999761581,,prac_atten_color,255797,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257800,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,258458,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,259020,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
58.10000002384186,,prac_atten_color_black,261024,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261876,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
404.80000001192093,,prac_atten_color,262650,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264654,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,265293,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
401.30000001192093,,prac_atten_color,266251,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268256,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268718,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
556.8999999761581,,prac_atten_color,269737,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271741,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,272134,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
