rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
9701.5,{worker_id:574ce0a57fd0ec000db73aa6},id_enter,9703,interleaved,replication,GW/hanover.png; GW/shreveport.png; GW/newhope.png; GW/hotsprings.png; GW/carmel.png; GW/leesburg.png; GW/westpalmbeach.png; GW/huntsville.png; GW/racine.png; GW/peoria.png; GW/cornwall.png; GW/gatlinburg.png; GW/boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54128,,fullscreen,63833,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15587.400000095367,,intro_1,79422,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12024,,intro_2,91448,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
6204.400000095367,,intro_3,97653,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,100654,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,101656,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
8441.400000095367,,intro_1,110098,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9149.200000286102,,intro_2,119249,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,122250,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,123263,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
9226.199999809265,,intro_1,132490,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
