rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
37410.19999999995,{worker_id:5ba5d8b960f3d50001697104},id_enter,37414,interleaved,replication,GW/newhope.png; GW/gatlinburg.png; GW/cornwall.png; GW/racine.png; GW/boulder.png; GW/hotsprings.png; GW/shreveport.png; GW/peoria.png; GW/huntsville.png; GW/westpalmbeach.png; GW/leesburg.png; GW/carmel.png; GW/hanover.png,,,,,,,,,,,,,,,,,,,,,,,
58791.80000000005,,fullscreen,96213,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
65715.79999999981,,intro_1,161932,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
41193.30000000005,,intro_2,203128,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
27804.899999999907,,intro_3,230935,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,233946,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,234952,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
5290.800000000047,,intro_1,240243,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
10091.300000000047,,intro_2,250337,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,253344,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,254351,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
3499,,intro_1,257851,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
5086.5,,intro_2,262940,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
44958.30000000005,,intro_3,307900,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,308840,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,309313,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
510.80000000004657,,prac_atten_color_black,311320,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,312256,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,313034,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
73,,prac_atten_color_black,315042,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,315680,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
687,,prac_atten_color,316600,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,318613,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,319107,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,319578,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
162.19999999995343,,prac_atten_color_black,321586,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,322527,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
758.0999999998603,,prac_atten_color,323450,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,325458,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,325957,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,326381,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
179.4000000001397,,prac_atten_color_black,328388,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,329382,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
488.4000000001397,,prac_atten_color,330272,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,332287,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,332813,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
714.5,,prac_atten_color,333585,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,335591,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,336240,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,336793,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
153.80000000004657,,prac_atten_color_black,338802,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,339667,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
616.1000000000931,,prac_atten_color,340612,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,342621,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
12174.699999999953,,attentioncheck_feedback,354804,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,
58705.19999999995,,last_instruct,413517,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),416523,,black_plus_sign,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),417246,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,417747,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,
1079.8999999999069,,rt_thecrossant_black,419045,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,419147,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),422157,,black_plus_sign,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),423139,,blue,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
