rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
29858.70000000298,{worker_id:5c03975936230300012948ba},id_enter,29861,interleaved,replication,GW/westpalmbeach.png; GW/peoria.png; GW/shreveport.png; GW/hotsprings.png; GW/gatlinburg.png; GW/carmel.png; GW/hanover.png; GW/newhope.png; GW/huntsville.png; GW/boulder.png; GW/leesburg.png; GW/racine.png; GW/cornwall.png,,,,,,,,,,,,,,,,,,,,,,,
27139.60000000894,,fullscreen,57004,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
29614.70000000298,,intro_1,86620,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
29278.90000000596,,intro_2,115900,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
30551.29999999702,,intro_3,146452,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,149454,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,150457,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
8394.09999999404,,intro_1,158852,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
8047.20000000298,,intro_2,166900,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,169902,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,170904,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
5898.600000008941,,intro_1,176804,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
8511.39999999106,,intro_2,185316,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
45343.10000000894,,intro_3,230660,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,230973,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,232066,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,234154,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
27705.20000000298,,attentioncheck_help,261861,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,262173,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,262639,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
309.59999999403954,,prac_atten_color_black,264640,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,265578,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,266184,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
347,,prac_atten_color_black,268186,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268985,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
490.5,,prac_atten_color,269588,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271589,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,272390,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
620.8000000119209,,prac_atten_color,273114,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,275115,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,275796,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,276270,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
373.70000000298023,,prac_atten_color_black,278272,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,279203,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,279634,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
81.09999999403954,,prac_atten_color_black,281637,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,282612,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
575.2000000029802,,prac_atten_color,283457,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,285460,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,286019,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
607.5,,prac_atten_color,286964,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,288966,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,289425,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
658.3999999910593,,prac_atten_color,290355,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,292358,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
16356.20000000298,,attentioncheck_feedback,308716,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,
53160.5,,last_instruct,361877,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),364880,,black_plus_sign,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),365480,,yellow,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,365981,,yellow,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
1215.5,,rt_thecrossant_black,367386,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,367488,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),370496,,black_plus_sign,,,,null,GW/cornwall.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),370937,,blue,,,,null,GW/cornwall.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,371438,,blue,,,,null,GW/cornwall.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
1516.3999999910593,,rt_thecrossant_black,373001,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,373104,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),376107,,black_plus_sign,,,,null,GW/hotsprings.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),376666,,yellow,,,,null,GW/hotsprings.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,377167,,yellow,,,,null,GW/hotsprings.png,GW/racine.png,,,,,,,,,,,,,,,,,,
991.5999999940395,,rt_thecrossant_black,378612,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,378716,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),381719,,black_plus_sign,,,,null,GW/newhope.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),382280,,yellow,,,,null,GW/newhope.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,382781,,yellow,,,,null,GW/newhope.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
966.6999999880791,,rt_thecrossant_black,384225,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,384327,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),387330,,black_plus_sign,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),388271,,yellow,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,388773,,yellow,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
801.2000000029802,,rt_thecrossant_black,389837,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,389939,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),392943,,black_plus_sign,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),393752,,yellow,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,394253,,yellow,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
1076.5999999940395,,rt_thecrossant_black,395448,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,395551,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),398555,,black_plus_sign,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),399364,,yellow,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,399866,,yellow,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
980.4000000059605,,rt_thecrossant_black,401062,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,401164,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),404167,,black_plus_sign,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),405253,,yellow,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,405755,,yellow,,,,null,GW/racine.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
962.9000000059605,,rt_thecrossant_black,406673,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,406776,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),409779,,black_plus_sign,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),410331,,blue,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,410832,,blue,,,,null,GW/huntsville.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
1539.2999999970198,,rt_thecrossant_black,412285,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,412387,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),415390,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),416007,,yellow,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,416508,,yellow,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
897.1000000089407,,rt_thecrossant_black,417896,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,417999,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),421002,,black_plus_sign,,,,null,GW/shreveport.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
