rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
30980.60000000149,{worker_id:5e34325430e5263f0bebb32d},id_enter,30982,interleaved,replication,GW/shreveport.png; GW/leesburg.png; GW/boulder.png; GW/racine.png; GW/cornwall.png; GW/peoria.png; GW/hanover.png; GW/huntsville.png; GW/hotsprings.png; GW/carmel.png; GW/newhope.png; GW/westpalmbeach.png; GW/gatlinburg.png,,,,,,,,,,,,,,,,,,,,,,,
53184.29999999702,,fullscreen,84168,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
260541.70000000298,,intro_1,344711,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
15221.19999999553,,intro_2,359933,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
13884.60000000149,,intro_3,373818,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,376820,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,377823,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
7808.19999999553,,intro_1,385632,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
2571.6999999955297,,intro_2,388204,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,391205,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,392206,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1277.8999999985099,,intro_1,393485,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
1067.3000000044703,,intro_2,394553,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
238548,,intro_3,633102,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,634045,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,634505,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,636505,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
15557.80000000447,,attentioncheck_help,652064,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,653007,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,653563,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
549.1000000014901,,prac_atten_color_black,655563,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,656410,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,657377,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
254.89999999850988,,prac_atten_color_black,659377,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,659814,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,660426,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
391.1000000014901,,prac_atten_color_black,662427,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,663218,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
919.1000000014901,,prac_atten_color,664170,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,666172,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,666623,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
770.5,,prac_atten_color,667671,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,669672,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,670027,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
782.6999999955297,,prac_atten_color,670885,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,672887,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,673431,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,674098,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
0.3999999985098839,,prac_atten_color_black,676100,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,676837,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
598.2999999970198,,prac_atten_color,677597,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,679598,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,680239,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,681265,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
65.89999999850988,,prac_atten_color_black,683266,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
21679.60000000149,,attentioncheck_feedback,704947,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,
36719.79999999702,,last_instruct,741667,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),744668,,black_plus_sign,,,,null,GW/peoria.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),745630,,yellow,,,,null,GW/peoria.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,746131,,yellow,,,,null,GW/peoria.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
