rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
23186.099999904633,{worker_id:5f7be1818da8861e3c3fcae8},id_enter,23187,interleaved,replication,GW/leesburg.png; GW/newhope.png; GW/hotsprings.png; GW/carmel.png; GW/racine.png; GW/shreveport.png; GW/cornwall.png; GW/hanover.png; GW/gatlinburg.png; GW/huntsville.png; GW/peoria.png; GW/boulder.png; GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,
30697.799999952316,,fullscreen,53887,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,
34351.300000071526,,intro_1,88239,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
45841.09999990463,,intro_2,134082,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
14824,,intro_3,148906,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,151909,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,152910,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,
6364,,intro_1,159275,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
14041.399999976158,,intro_2,173317,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,176318,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,177320,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,
8362.699999928474,,intro_1,185683,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
13229.5,,intro_2,198914,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
61733.89999997616,,intro_3,260648,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261479,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,262052,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
14.399999976158142,,prac_atten_color_black,264054,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264885,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
567.2000000476837,,prac_atten_color,265801,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267802,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268289,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,268743,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
163,,prac_atten_color_black,270744,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271696,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
661.2000000476837,,prac_atten_color,272404,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274406,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,275100,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,275561,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
0.30000007152557373,,prac_atten_color_black,277561,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,278503,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
640.3000000715256,,prac_atten_color,279359,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281360,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281907,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,282516,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
44.5,,prac_atten_color_black,284517,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,285310,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
464.89999997615814,,prac_atten_color,286002,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,288003,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,288715,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
433.7999999523163,,prac_atten_color,289415,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,291417,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,292119,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
484,,prac_atten_color,292663,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,294664,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
15210,,attentioncheck_feedback,309875,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,
37260.40000009537,,last_instruct,347136,,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),350137,,black_plus_sign,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),351079,,blue,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,351580,,blue,,,,null,GW/carmel.png,GW/boulder.png,,,,,,,,,,,,,,,,,
1318.2999999523163,,rt_thecrossant_black,352640,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,352742,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),355743,,black_plus_sign,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),356835,,blue,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,357336,,blue,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,358256,,black_plus_sign,,,,null,,,,1,,,,,,,,,,,,,,,
null,,color_black,358358,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),361360,,black_plus_sign,,,,null,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),362253,,yellow,,,,null,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
506.2000000476837,,rt_plussign_withcolor,362759,,yellow,,,,50,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,363870,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,
null,,color_black,363972,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),366975,,black_plus_sign,,,,null,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),367881,,yellow,,,,null,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
499.10000002384186,,rt_plussign_withcolor,368382,,yellow,,,,50,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,369478,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,
null,,color_black,369580,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),372581,,black_plus_sign,,,,null,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),373563,,blue,,,,null,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,374063,,blue,,,,null,GW/racine.png,GW/carmel.png,,,,,,,,,,,,,,,,,
1219.6000000238419,,rt_thecrossant_black,375085,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,375186,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),378188,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),379244,,blue,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,379745,,blue,,,,null,GW/gatlinburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
1087.7999999523163,,rt_thecrossant_black,380693,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,380794,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),383797,,black_plus_sign,,,,null,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),384433,,yellow,,,,null,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,384935,,yellow,,,,null,GW/shreveport.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,
1582.7000000476837,,rt_thecrossant_black,386301,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,386402,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),389403,,black_plus_sign,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),389859,,yellow,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,390360,,yellow,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,
1410.5,,rt_thecrossant_black,391908,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,392009,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),395011,,black_plus_sign,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),395750,,yellow,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,396252,,yellow,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
1086.6000000238419,,rt_thecrossant_black,397515,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,397617,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),400618,,black_plus_sign,,,,null,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),401453,,blue,,,,null,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,401954,,blue,,,,null,GW/carmel.png,GW/racine.png,,,,,,,,,,,,,,,,,
968.1000000238419,,rt_thecrossant_black,403123,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,403224,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),406226,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),407327,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,407828,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
1354.5,,rt_thecrossant_black,408732,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,408834,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),411836,,black_plus_sign,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),412761,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,413262,,blue,,,,null,GW/cornwall.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
1524.3000000715256,,rt_thecrossant_black,414340,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,414441,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),417442,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),418047,,yellow,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,418548,,yellow,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
1317.3999999761581,,rt_thecrossant_black,419947,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,420048,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),423050,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),423864,,blue,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,424365,,blue,,,,null,GW/gatlinburg.png,GW/peoria.png,,,,,,,,,,,,,,,,,
1006.7000000476837,,rt_thecrossant_black,425554,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,425655,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),428657,,black_plus_sign,,,,null,GW/carmel.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),429255,,blue,,,,null,GW/carmel.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,429757,,blue,,,,null,GW/carmel.png,GW/newhope.png,,,,,,,,,,,,,,,,,
1413.2999999523163,,rt_thecrossant_black,431163,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,431264,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),434265,,black_plus_sign,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),435151,,blue,,,,null,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
465.5,,rt_plussign_withcolor,435652,,blue,,,,49,GW/newhope.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,436769,,black_plus_sign,,,,null,,,1,1,,,,,,,,,,,,,,,
null,,color_black,436870,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),439872,,black_plus_sign,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),440284,,blue,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,440785,,blue,,,,null,GW/leesburg.png,GW/newhope.png,,,,,,,,,,,,,,,,,
1082,,rt_thecrossant_black,442376,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,442478,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),445480,,black_plus_sign,,,,null,GW/shreveport.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),446112,,yellow,,,,null,GW/shreveport.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,446613,,yellow,,,,null,GW/shreveport.png,GW/gatlinburg.png,,,,,,,,,,,,,,,,,
681.4000000953674,,rt_thecrossant_black,447983,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,448085,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
