rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
2386.5,{worker_id:5fd955152dc9172302e1d605},id_enter,2388,interleaved,replication,GW/hanover.png; GW/leesburg.png; GW/racine.png; GW/huntsville.png; GW/newhope.png; GW/gatlinburg.png; GW/hotsprings.png; GW/cornwall.png; GW/boulder.png; GW/peoria.png; GW/carmel.png; GW/shreveport.png; GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,,,,,,
6107.29999999702,,fullscreen,8497,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
7425.600000008941,,intro_1,15926,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
5859.79999999702,,intro_2,21788,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
5832,,intro_3,27622,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,30624,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,31628,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
3674.5,,intro_1,35304,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
4164.9000000059605,,intro_2,39471,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,42473,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,43476,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1618.5999999940395,,intro_1,45096,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
2661.0999999940395,,intro_2,47759,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
10335.79999999702,,intro_3,58096,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,58613,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
