rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
15303,{worker_id:64014527b3cff9215591758d},id_enter,16524,interleaved,replication,GW/newhope.png; GW/leesburg.png; GW/hotsprings.png; GW/cornwall.png; GW/carmel.png; GW/gatlinburg.png; GW/hanover.png; GW/shreveport.png; GW/westpalmbeach.png; GW/huntsville.png; GW/peoria.png; GW/racine.png; GW/boulder.png,,,,,,,,,,,,,,,,,,,,,,,
7137.5,,fullscreen,23666,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
7196.0999999940395,,intro_1,30862,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
13081.199999988079,,intro_2,43945,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
6864.799999982119,,intro_3,50810,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,53811,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,54812,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2890.100000023842,,intro_1,57702,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
3376.199999988079,,intro_2,61079,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,64081,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,65082,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1657.199999988079,,intro_1,66740,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
2975.9000000059605,,intro_2,69716,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
18384.70000001788,,intro_3,88102,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,88604,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
876.5999999940395,,prac_atten_color,89504,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,91506,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,92008,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
428.59999999403954,,prac_atten_color,92761,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,94762,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95416,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
381.09999999403954,,prac_atten_color,96115,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98117,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,98821,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
483.7999999821186,,prac_atten_color,99360,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,101362,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,102225,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,102798,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
36.10000002384186,,prac_atten_color_black,104799,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,105629,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,106235,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
128,,prac_atten_color_black,108236,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,109032,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
476.09999999403954,,prac_atten_color,109958,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,111960,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,112437,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,112890,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
26.100000023841858,,prac_atten_color_black,114892,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,115840,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,116397,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
166,,prac_atten_color_black,118398,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,119244,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
