rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
6634.199999809265,{worker_id:6595938bf754e3013651e556},id_enter,6637,blocked,replication,GW/boulder.png; GW/huntsville.png; GW/carmel.png; GW/peoria.png; GW/shreveport.png; GW/gatlinburg.png; GW/hanover.png; GW/hotsprings.png; GW/westpalmbeach.png; GW/leesburg.png; GW/newhope.png; GW/cornwall.png; GW/racine.png,,,,,,,,,,,,,,,,,,,,,,,
3478.9000000953674,,fullscreen,10122,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
78806.69999980927,,intro_1,88932,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
43035.60000014305,,intro_2,131969,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
10809.799999952316,,intro_3,142781,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,145784,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,146801,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2353.2000000476837,,intro_1,149155,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
2206.7000000476837,,intro_2,151363,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,154366,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,155367,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1742.7999999523163,,intro_1,157111,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
1670.7999999523163,,intro_2,158783,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
76222.09999990463,,intro_3,235007,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,235802,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,236431,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,238433,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
20842.699999809265,,attentioncheck_help,259277,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260069,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,260810,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,262811,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
10815.900000095367,,attentioncheck_help,273629,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274292,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
480,,prac_atten_color,275082,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
914.0999999046326,,prac_atten_color_black,277084,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,277698,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,278216,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
43.60000014305115,,prac_atten_color_black,280219,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281105,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
458.60000014305115,,prac_atten_color,281650,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,283652,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,284511,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
445.19999980926514,,prac_atten_color,285188,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,287190,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,287918,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
621.7000000476837,,prac_atten_color,288963,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,290964,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,291322,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
616.9000000953674,,prac_atten_color,292363,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,294365,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,294737,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
451.19999980926514,,prac_atten_color,295263,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,297265,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,298142,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
549.5,,prac_atten_color,298955,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,300957,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
22439,,attentioncheck_feedback,323397,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,
56134.5,,last_instruct,379533,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),382535,,black_plus_sign,,,,null,GW/newhope.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),383242,,yellow,,,,null,GW/newhope.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,383744,,yellow,,,,null,GW/newhope.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
1063.7999999523163,,rt_thecrossant_black,385045,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,385148,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
