rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
6877,{worker_id:6604cdce9c02df4997ec8b68},id_enter,6880,blocked,replication,GW/shreveport.png; GW/hotsprings.png; GW/gatlinburg.png; GW/racine.png; GW/westpalmbeach.png; GW/hanover.png; GW/carmel.png; GW/huntsville.png; GW/peoria.png; GW/leesburg.png; GW/cornwall.png; GW/newhope.png; GW/boulder.png,,,,,,,,,,,,,,,,,,,,,,,
23053,,fullscreen,29938,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
37408,,intro_1,67352,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
22750.999999999985,,intro_2,90105,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
11528.999999999985,,intro_3,101635,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,104638,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,105645,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
5657,,intro_1,111302,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
23715.00000000003,,intro_2,135019,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,138021,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,139029,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
3573,,intro_1,142603,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
13748,,intro_2,156353,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
87098,,intro_3,243454,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,243785,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,244865,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
409,,prac_atten_color_black,246868,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,247203,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,247646,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
45,,prac_atten_color_black,249649,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,250619,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,251212,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
21.999999999941792,,prac_atten_color_black,253215,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,254036,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
614,,prac_atten_color,255079,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257081,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257454,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,258172,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
19,,prac_atten_color_black,260175,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260871,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
748,,prac_atten_color,261910,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,263913,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264288,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
452,,prac_atten_color,265191,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267194,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,267706,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
425,,prac_atten_color,268283,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,270286,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271122,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,271668,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
117,,prac_atten_color_black,273671,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274539,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
564,,prac_atten_color,275170,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,277173,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
11260.000000000058,,attentioncheck_feedback,288440,,cross_check_feedback,,0,,,,,,,,,,,,,,,,,,,,,,
37737.00000000006,,last_instruct,326178,,instruct,,,,32,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),329181,,black_plus_sign,,,,null,GW/hanover.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),329844,,yellow,,,,null,GW/hanover.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,330347,,yellow,,,,null,GW/hanover.png,GW/carmel.png,,,,,,,,,,,,,,,,,,
1403.0000000000582,,rt_thecrossant_black,331698,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,
null,,color_black,331806,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),334812,,black_plus_sign,,,,null,GW/cornwall.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
