rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,linedress,linedressed,problems,smooth,distraction,strategies,easier,similar,comments
36056,{worker_id:56f59251736c79000c2241f7},id_enter,36060,id_enter,GW/teeth.jpg; GW/hat.jpg; GW/barrel.jpg; GW/globe.jpg; GW/dustpan.jpg; GW/jukebox.jpg; GW/camera.jpg; GW/gong.jpg; GW/basket.jpg; GW/paint.jpg; GW/wheelchair.jpg; GW/soldier.jpg; GW/snail.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
4275,,fullscreen,40337,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,
5737,,intro_1,46076,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
4779,,intro_2,50857,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
4510,,intro_3,55367,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,57374,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,58378,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,
2012,,intro_1,60389,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2720,,intro_2,63108,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,65119,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,66125,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,
1129,,intro_1,67255,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1550,,intro_2,68804,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
11716,,intro_3,80522,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,81396,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,81938,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,83951,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
3015,,attentioncheck_help,86969,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,
