rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
17759.30000000447,{worker_id:5c1199258b095d00015cf0ec},id_enter,17766,id_enter,GW/wheelchair.jpg; GW/dustpan.jpg; GW/camera.jpg; GW/soldier.jpg; GW/jukebox.jpg; GW/basket.jpg; GW/globe.jpg; GW/snail.jpg; GW/barrel.jpg; GW/paint.jpg; GW/hat.jpg; GW/teeth.jpg; GW/gong.jpg,,,,,,,,,,,,,,,,,
8001.80000000447,,fullscreen,25786,fullscreen,,0,,,,,,,,,,,,,,,,
75975.70000000298,,intro_1,101764,instruct,,0,,,,,,,,,,,,,,,,
12425.10000000149,,intro_2,114196,instruct,,1,Next,,,,,,,,,,,,,,,
19284.39999999851,,intro_3,133483,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,135487,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,136492,<p></p>,,,,null,,,,,,,,,,,,,,
3828.10000000149,,intro_1,140322,instruct,,0,,,,,,,,,,,,,,,,
6167,,intro_2,146491,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,148494,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,149497,<p></p>,,,,null,,,,,,,,,,,,,,
1816.3000000044703,,intro_1,151315,instruct,,0,,,,,,,,,,,,,,,,
2604.7000000029802,,intro_2,153923,instruct,,1,Next,,,,,,,,,,,,,,,
22149,,intro_3,176075,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,177046,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,177481,prac_stop_color,,,,null,,,,,,,,,,,,,,
90.19999999552965,,prac_atten_color_black,179483,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,180455,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,181068,prac_stop_color,,,,null,,,,,,,,,,,,,,
184.89999999850988,,prac_atten_color_black,183071,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,183863,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,184350,prac_stop_color,,,,null,,,,,,,,,,,,,,
274.19999999552965,,prac_atten_color_black,186352,black_plus_sign,,,,49,,,,,,,,,,,,,,
22572.89999999851,,attentioncheck_help,208928,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,209846,black_plus_sign,,,,null,,,,,,,,,,,,,,
554.8999999985099,,prac_atten_color,210718,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,212721,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,213254,black_plus_sign,,,,null,,,,,,,,,,,,,,
559.8999999985099,,prac_atten_color,213977,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,215978,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,216661,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,217081,prac_stop_color,,,,null,,,,,,,,,,,,,,
106.30000000447035,,prac_atten_color_black,219084,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,220069,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,220623,prac_stop_color,,,,null,,,,,,,,,,,,,,
356.1000000014901,,prac_atten_color_black,222625,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,223476,black_plus_sign,,,,null,,,,,,,,,,,,,,
589,,prac_atten_color,224217,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,226220,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,226885,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,227492,prac_stop_color,,,,null,,,,,,,,,,,,,,
175.19999999552965,,prac_atten_color_black,229494,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,230292,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,230865,prac_stop_color,,,,null,,,,,,,,,,,,,,
164.09999999403954,,prac_atten_color_black,232867,black_plus_sign,,,,49,,,,,,,,,,,,,,
6885.10000000149,,attentioncheck_feedback,239756,cross_check_feedback,,0,,,,,,,,,,,,,,,,
31070.70000000298,,last_instruct,270828,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),272831,black_plus_sign,,,,null,GW/snail.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),273279,blue,,,,null,GW/snail.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,273781,blue,,,,null,GW/snail.jpg,GW/barrel.jpg,,,,,,,,,,,,
859.2999999970198,,rt_thecrossant_black,275338,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,275442,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),277462,black_plus_sign,,,,null,GW/globe.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),278402,blue,,,,null,GW/globe.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,278904,blue,,,,null,GW/globe.jpg,GW/snail.jpg,,,,,,,,,,,,
921.3999999985099,,rt_thecrossant_black,279970,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,280073,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),282076,black_plus_sign,,,,null,GW/snail.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),282523,blue,,,,null,GW/snail.jpg,GW/barrel.jpg,,,,,,,,,,,,
