rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
7015.399999976158,{worker_id:5d8a29c082fec30001d9c24a},id_enter,7017,id_enter,GW/teeth.jpg; GW/paint.jpg; GW/camera.jpg; GW/gong.jpg; GW/jukebox.jpg; GW/hat.jpg; GW/barrel.jpg; GW/soldier.jpg; GW/globe.jpg; GW/wheelchair.jpg; GW/snail.jpg; GW/dustpan.jpg; GW/basket.jpg,,,,,,,,,,,,,,,,,
13516.899999976158,,fullscreen,20536,fullscreen,,0,,,,,,,,,,,,,,,,
11593.799999952316,,intro_1,32131,instruct,,0,,,,,,,,,,,,,,,,
16369.700000047684,,intro_2,48502,instruct,,1,Next,,,,,,,,,,,,,,,
6747.5,,intro_3,55250,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,57252,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,58254,<p></p>,,,,null,,,,,,,,,,,,,,
3003.399999976158,,intro_1,61258,instruct,,0,,,,,,,,,,,,,,,,
4783.199999928474,,intro_2,66042,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,68043,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,69045,<p></p>,,,,null,,,,,,,,,,,,,,
1441.5,,intro_1,70487,instruct,,0,,,,,,,,,,,,,,,,
3782.5,,intro_2,74270,instruct,,1,Next,,,,,,,,,,,,,,,
20619.200000047684,,intro_3,94890,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,95751,black_plus_sign,,,,null,,,,,,,,,,,,,,
481.5,,prac_atten_color,96293,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,98295,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,99155,black_plus_sign,,,,null,,,,,,,,,,,,,,
518.9000000953674,,prac_atten_color,99900,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,101901,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,102559,black_plus_sign,,,,null,,,,,,,,,,,,,,
501.10000002384186,,prac_atten_color,103207,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,105208,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,105963,black_plus_sign,,,,null,,,,,,,,,,,,,,
473.59999990463257,,prac_atten_color,107023,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,109024,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,109367,black_plus_sign,,,,null,,,,,,,,,,,,,,
505.10000002384186,,prac_atten_color,110042,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,112044,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,112772,black_plus_sign,,,,null,,,,,,,,,,,,,,
474.6999999284744,,prac_atten_color,113485,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,115487,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,116176,black_plus_sign,,,,null,,,,,,,,,,,,,,
490.2000000476837,,prac_atten_color,117265,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,119265,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,119580,black_plus_sign,,,,null,,,,,,,,,,,,,,
480.5,,prac_atten_color,120220,prac_stop_color,,,,50,,,,,,,,,,,,,,
