rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
10873.400000035763,{worker_id:5fc521555cd05b000cfe0998},id_enter,10874,id_enter,GW/teeth.jpg; GW/paint.jpg; GW/basket.jpg; GW/barrel.jpg; GW/jukebox.jpg; GW/camera.jpg; GW/hat.jpg; GW/soldier.jpg; GW/gong.jpg; GW/dustpan.jpg; GW/snail.jpg; GW/wheelchair.jpg; GW/globe.jpg,,,,,,,,,,,,,,,,,
3300.600000023842,,fullscreen,14177,fullscreen,,0,,,,,,,,,,,,,,,,
32419.30000001192,,intro_1,46597,instruct,,0,,,,,,,,,,,,,,,,
13178,,intro_2,59776,instruct,,1,Next,,,,,,,,,,,,,,,
2730.199999988079,,intro_3,62506,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,64507,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,65517,<p></p>,,,,null,,,,,,,,,,,,,,
1936,,intro_1,67455,instruct,,0,,,,,,,,,,,,,,,,
2215.699999988079,,intro_2,69671,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,71674,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,72691,<p></p>,,,,null,,,,,,,,,,,,,,
2055.7000000476837,,intro_1,74748,instruct,,0,,,,,,,,,,,,,,,,
1824.300000011921,,intro_2,76573,instruct,,1,Next,,,,,,,,,,,,,,,
15784.5,,intro_3,92358,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,92898,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,93771,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,95779,black_plus_sign,,,,null,,,,,,,,,,,,,,
