rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
4170.800000071526,{worker_id:63c3118da7ffa9c9fa88a10e},id_enter,4172,id_enter,GW/paint.jpg; GW/snail.jpg; GW/teeth.jpg; GW/camera.jpg; GW/barrel.jpg; GW/dustpan.jpg; GW/soldier.jpg; GW/jukebox.jpg; GW/hat.jpg; GW/basket.jpg; GW/globe.jpg; GW/gong.jpg; GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
4506.200000047684,,fullscreen,8683,fullscreen,,0,,,,,,,,,,,,,,,,
4899.299999952316,,intro_1,13584,instruct,,0,,,,,,,,,,,,,,,,
29770.699999928474,,intro_2,43356,instruct,,1,Next,,,,,,,,,,,,,,,
4639.899999976158,,intro_3,47996,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,49998,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,51001,<p></p>,,,,null,,,,,,,,,,,,,,
4629.700000047684,,intro_1,55631,instruct,,0,,,,,,,,,,,,,,,,
2511.100000023842,,intro_2,58143,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,60145,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,61149,<p></p>,,,,null,,,,,,,,,,,,,,
1949.3000000715256,,intro_1,63099,instruct,,0,,,,,,,,,,,,,,,,
2457.1999999284744,,intro_2,65558,instruct,,1,Next,,,,,,,,,,,,,,,
84361.29999995232,,intro_3,149920,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,150255,black_plus_sign,,,,null,,,,,,,,,,,,,,
866.5,,prac_atten_color,151326,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,153328,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,153662,black_plus_sign,,,,null,,,,,,,,,,,,,,
655.7999999523163,,prac_atten_color,154716,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,156723,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,157073,black_plus_sign,,,,null,,,,,,,,,,,,,,
944.7999999523163,,prac_atten_color,158162,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,160165,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,160480,black_plus_sign,,,,null,,,,,,,,,,,,,,
