rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
5677.5,{worker_id:654d0bd1f4ba143e0503a02f},id_enter,5682,id_enter,GW/camera.jpg; GW/barrel.jpg; GW/snail.jpg; GW/globe.jpg; GW/basket.jpg; GW/jukebox.jpg; GW/wheelchair.jpg; GW/hat.jpg; GW/gong.jpg; GW/paint.jpg; GW/teeth.jpg; GW/dustpan.jpg; GW/soldier.jpg,,,,,,,,,,,,,,,,,
13014.899999976158,,fullscreen,18706,fullscreen,,0,,,,,,,,,,,,,,,,
19141.600000023842,,intro_1,37856,instruct,,0,,,,,,,,,,,,,,,,
19037.399999976158,,intro_2,56899,instruct,,1,Next,,,,,,,,,,,,,,,
24043.299999952316,,intro_3,80946,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,82951,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,83954,<p></p>,,,,null,,,,,,,,,,,,,,
13548.699999988079,,intro_1,97504,instruct,,0,,,,,,,,,,,,,,,,
7234.699999988079,,intro_2,104745,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,106749,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,107754,<p></p>,,,,null,,,,,,,,,,,,,,
14043.099999964237,,intro_1,121799,instruct,,0,,,,,,,,,,,,,,,,
5125.100000023842,,intro_2,126926,instruct,,1,Next,,,,,,,,,,,,,,,
33198.60000002384,,intro_3,160128,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,160549,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,161538,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,163542,black_plus_sign,,,,null,,,,,,,,,,,,,,
9350.800000011921,,attentioncheck_help,172898,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,173317,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,173829,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,175834,black_plus_sign,,,,null,,,,,,,,,,,,,,
20419.5,,attentioncheck_help,196257,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,197151,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,197624,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,199626,black_plus_sign,,,,null,,,,,,,,,,,,,,
10086,,attentioncheck_help,209717,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,210650,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,211138,prac_stop_color,,,,null,,,,,,,,,,,,,,
592.1000000238419,,prac_atten_color_black,213149,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,214069,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,214747,prac_stop_color,,,,null,,,,,,,,,,,,,,
510.30000001192093,,prac_atten_color_black,216749,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,217480,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,218068,prac_stop_color,,,,null,,,,,,,,,,,,,,
61,,prac_atten_color_black,220071,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,220901,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,221398,prac_stop_color,,,,null,,,,,,,,,,,,,,
298.0999999642372,,prac_atten_color_black,223401,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,224309,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,225133,prac_stop_color,,,,null,,,,,,,,,,,,,,
19.400000035762787,,prac_atten_color_black,227135,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,227718,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,228311,prac_stop_color,,,,null,,,,,,,,,,,,,,
51.799999952316284,,prac_atten_color_black,230314,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,231128,black_plus_sign,,,,null,,,,,,,,,,,,,,
714.2000000476837,,prac_atten_color,232113,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,234117,black_plus_sign,,,,null,,,,,,,,,,,,,,
10849.799999952316,,attentioncheck_feedback,244973,cross_check_feedback,,0,,,,,,,,,,,,,,,,
19741.399999976158,,last_instruct,264716,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),266721,black_plus_sign,,,,null,GW/snail.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),267161,green,,,,null,GW/snail.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,267665,green,,,,null,GW/snail.jpg,GW/jukebox.jpg,,,,,,,,,,,,
1353.800000011921,,rt_thecrossant_black,269231,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,269335,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),271343,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,black_cross(without_color),272369,green,,,,null,GW/wheelchair.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,272871,green,,,,null,GW/wheelchair.jpg,GW/hat.jpg,,,,,,,,,,,,
695,,rt_thecrossant_black,273854,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,273957,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),275963,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),276983,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
491.80000001192093,,rt_plussign_withcolor,277485,green,,,,50,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,278471,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,278576,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),280582,black_plus_sign,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),281303,blue,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,281807,blue,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
1291.2000000476837,,rt_thecrossant_black,283091,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,283195,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),285201,black_plus_sign,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),286247,green,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,286750,green,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
884.6000000238419,,rt_thecrossant_black,287710,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,287813,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),289818,black_plus_sign,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),290280,green,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,290783,green,,,,null,GW/jukebox.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
1231.3999999761581,,rt_thecrossant_black,292329,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,292433,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),294437,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),295156,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,295659,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
900.6999999880791,,rt_thecrossant_black,296947,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,297052,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),299057,black_plus_sign,,,,null,GW/globe.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),299656,green,,,,null,GW/globe.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,300159,green,,,,null,GW/globe.jpg,GW/basket.jpg,,,,,,,,,,,,
936.7999999523163,,rt_thecrossant_black,301567,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,301669,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),303671,black_plus_sign,,,,null,GW/hat.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),304344,blue,,,,null,GW/hat.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,304847,blue,,,,null,GW/hat.jpg,GW/gong.jpg,,,,,,,,,,,,
913.7000000476837,,rt_thecrossant_black,306192,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,306296,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),308302,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),308972,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,309475,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
999.4000000357628,,rt_thecrossant_black,310812,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,310916,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),312920,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),313850,green,,,,null,GW/wheelchair.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,314352,green,,,,null,GW/wheelchair.jpg,GW/gong.jpg,,,,,,,,,,,,
926.8999999761581,,rt_thecrossant_black,315429,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,315534,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),317537,black_plus_sign,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),318448,green,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,318951,green,,,,null,GW/gong.jpg,GW/teeth.jpg,,,,,,,,,,,,
1044.199999988079,,rt_thecrossant_black,320047,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,320157,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),322161,black_plus_sign,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),322741,green,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,323243,green,,,,null,GW/barrel.jpg,GW/globe.jpg,,,,,,,,,,,,
1267.4000000357628,,rt_thecrossant_black,324672,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,324776,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),326783,black_plus_sign,,,,null,GW/camera.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),327593,blue,,,,null,GW/camera.jpg,GW/barrel.jpg,,,,,,,,,,,,
