rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
18847.09999999404,{worker_id:67cb5baef51d73572cb490ae},id_enter,18856,id_enter,GW/teeth.jpg; GW/hat.jpg; GW/globe.jpg; GW/basket.jpg; GW/dustpan.jpg; GW/paint.jpg; GW/barrel.jpg; GW/soldier.jpg; GW/snail.jpg; GW/camera.jpg; GW/jukebox.jpg; GW/gong.jpg; GW/wheelchair.jpg,,,,,,,,,,,,,,,,,
54849.80000001192,,fullscreen,73714,fullscreen,,0,,,,,,,,,,,,,,,,
28433.5,,intro_1,102153,instruct,,0,,,,,,,,,,,,,,,,
48641.90000000596,,intro_2,150798,instruct,,1,Next,,,,,,,,,,,,,,,
36649.79999999702,,intro_3,187450,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,189457,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,190477,<p></p>,,,,null,,,,,,,,,,,,,,
6657.899999991059,,intro_1,197136,instruct,,0,,,,,,,,,,,,,,,,
14767,,intro_2,211906,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,213916,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,214923,<p></p>,,,,null,,,,,,,,,,,,,,
19090.79999999702,,intro_1,234016,instruct,,0,,,,,,,,,,,,,,,,
29163.90000000596,,intro_2,263182,instruct,,1,Next,,,,,,,,,,,,,,,
134491.60000000894,,intro_3,397676,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,398355,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,399086,prac_stop_color,,,,null,,,,,,,,,,,,,,
916.5999999940395,,prac_atten_color_black,401104,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,401787,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,402489,prac_stop_color,,,,null,,,,,,,,,,,,,,
563.2999999970198,,prac_atten_color_black,404492,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,405218,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,405661,prac_stop_color,,,,null,,,,,,,,,,,,,,
311,,prac_atten_color_black,407668,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,408636,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,409144,prac_stop_color,,,,null,,,,,,,,,,,,,,
389,,prac_atten_color_black,411154,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,412064,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,412958,prac_stop_color,,,,null,,,,,,,,,,,,,,
203.90000000596046,,prac_atten_color_black,414964,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,415486,black_plus_sign,,,,null,,,,,,,,,,,,,,
901,,prac_atten_color,416425,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,418431,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,418905,black_plus_sign,,,,null,,,,,,,,,,,,,,
576.0999999940395,,prac_atten_color,419597,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,421602,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,422328,black_plus_sign,,,,null,,,,,,,,,,,,,,
680.5,,prac_atten_color,423266,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,425275,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,425765,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,426401,prac_stop_color,,,,null,,,,,,,,,,,,,,
358.80000001192093,,prac_atten_color_black,428411,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,429196,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,430001,prac_stop_color,,,,null,,,,,,,,,,,,,,
317.8999999910593,,prac_atten_color_black,432005,black_plus_sign,,,,49,,,,,,,,,,,,,,
24509.19999998808,,attentioncheck_feedback,456518,cross_check_feedback,,0,,,,,,,,,,,,,,,,
16678,,last_instruct,473197,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),475210,black_plus_sign,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),475876,green,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,476383,green,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
1452.2999999970198,,rt_thecrossant_black,477733,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,477842,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),479847,black_plus_sign,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,black_cross(without_color),480766,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,481268,blue,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
959.2999999970198,,rt_thecrossant_black,482366,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,482476,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),484482,black_plus_sign,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),485424,blue,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,485928,blue,,,,null,GW/paint.jpg,GW/snail.jpg,,,,,,,,,,,,
1361.300000011921,,rt_thecrossant_black,487007,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,487113,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),489122,black_plus_sign,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),489986,blue,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,490489,blue,,,,null,GW/hat.jpg,GW/globe.jpg,,,,,,,,,,,,
1729.6000000089407,,rt_thecrossant_black,491658,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,491768,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),493779,black_plus_sign,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,black_cross(without_color),494811,green,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,495321,green,,,,null,GW/teeth.jpg,GW/hat.jpg,,,,,,,,,,,,
1633.7999999970198,,rt_thecrossant_black,496322,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,496432,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),498442,black_plus_sign,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),499031,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,499536,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
1409.5999999940395,,rt_thecrossant_black,500964,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,501071,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),503078,black_plus_sign,,,,null,GW/hat.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),503676,green,,,,null,GW/hat.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,504184,green,,,,null,GW/hat.jpg,GW/basket.jpg,,,,,,,,,,,,
1533,,rt_thecrossant_black,505603,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,505711,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),507721,black_plus_sign,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
