rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
8930,{worker_id:67ce1feb43ee9200186c94b3},id_enter,8932,id_enter,GW/dustpan.jpg; GW/camera.jpg; GW/basket.jpg; GW/gong.jpg; GW/paint.jpg; GW/teeth.jpg; GW/wheelchair.jpg; GW/barrel.jpg; GW/soldier.jpg; GW/globe.jpg; GW/hat.jpg; GW/jukebox.jpg; GW/snail.jpg,,,,,,,,,,,,,,,,,
23796.099999904633,,fullscreen,32732,fullscreen,,0,,,,,,,,,,,,,,,,
23374.399999976158,,intro_1,56107,instruct,,0,,,,,,,,,,,,,,,,
23670.700000047684,,intro_2,79779,instruct,,1,Next,,,,,,,,,,,,,,,
4207.100000023842,,intro_3,83987,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,85994,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,86999,<p></p>,,,,null,,,,,,,,,,,,,,
6251.200000047684,,intro_1,93251,instruct,,0,,,,,,,,,,,,,,,,
19687,,intro_2,112939,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,114941,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,115944,<p></p>,,,,null,,,,,,,,,,,,,,
7858.100000023842,,intro_1,123803,instruct,,0,,,,,,,,,,,,,,,,
8015.200000047684,,intro_2,131819,instruct,,1,Next,,,,,,,,,,,,,,,
38319.200000047684,,intro_3,170139,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,171103,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,171545,prac_stop_color,,,,null,,,,,,,,,,,,,,
1217.6000000238419,,prac_atten_color_black,173548,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,174512,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,174993,prac_stop_color,,,,null,,,,,,,,,,,,,,
345.39999997615814,,prac_atten_color_black,176995,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,177921,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,178383,prac_stop_color,,,,null,,,,,,,,,,,,,,
475.5,,prac_atten_color_black,180385,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,181335,black_plus_sign,,,,null,,,,,,,,,,,,,,
467.2000000476837,,prac_atten_color,182420,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,184422,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,184744,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,185295,prac_stop_color,,,,null,,,,,,,,,,,,,,
114.5,,prac_atten_color_black,187297,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,188152,black_plus_sign,,,,null,,,,,,,,,,,,,,
962.3999999761581,,prac_atten_color,189245,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,191247,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,191560,black_plus_sign,,,,null,,,,,,,,,,,,,,
594.7000000476837,,prac_atten_color,192596,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,194597,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,194966,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,195548,prac_stop_color,,,,null,,,,,,,,,,,,,,
174.5,,prac_atten_color_black,197550,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,198373,black_plus_sign,,,,null,,,,,,,,,,,,,,
732.8999999761581,,prac_atten_color,199243,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,201246,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,201781,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,202326,prac_stop_color,,,,null,,,,,,,,,,,,,,
477.5,,prac_atten_color_black,204327,black_plus_sign,,,,49,,,,,,,,,,,,,,
14441.299999952316,,attentioncheck_feedback,218771,cross_check_feedback,,0,,,,,,,,,,,,,,,,
50080.89999997616,,last_instruct,268853,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),270855,black_plus_sign,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),271518,green,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,272020,green,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
1620.9000000953674,,rt_thecrossant_black,273373,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,273474,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),275479,black_plus_sign,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),276494,blue,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,276996,blue,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
934.3000000715256,,rt_thecrossant_black,277985,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,278087,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),280090,black_plus_sign,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),281031,green,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,281532,green,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
1849,,rt_thecrossant_black,282596,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,282699,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),284703,black_plus_sign,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),285518,blue,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,286021,blue,,,,null,GW/teeth.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
1497.5,,rt_thecrossant_black,287211,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,287313,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),289316,black_plus_sign,,,,null,GW/barrel.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),289835,blue,,,,null,GW/barrel.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,290337,blue,,,,null,GW/barrel.jpg,GW/soldier.jpg,,,,,,,,,,,,
1418.2999999523163,,rt_thecrossant_black,291822,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,291925,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),293928,black_plus_sign,,,,null,GW/gong.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),294985,blue,,,,null,GW/gong.jpg,GW/jukebox.jpg,,,,,,,,,,,,
