rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
62397.799999952316,{worker_id:67db09c719a34f37f3f38e0a},id_enter,62402,id_enter,GW/jukebox.jpg; GW/teeth.jpg; GW/gong.jpg; GW/camera.jpg; GW/barrel.jpg; GW/basket.jpg; GW/wheelchair.jpg; GW/paint.jpg; GW/hat.jpg; GW/soldier.jpg; GW/snail.jpg; GW/globe.jpg; GW/dustpan.jpg,,,,,,,,,,,,,,,,,
2720,,fullscreen,65133,fullscreen,,0,,,,,,,,,,,,,,,,
3171.7999999523163,,intro_1,68308,instruct,,0,,,,,,,,,,,,,,,,
3423.399999976158,,intro_2,71734,instruct,,1,Next,,,,,,,,,,,,,,,
9144.700000047684,,intro_3,80882,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,82885,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,83887,<p></p>,,,,null,,,,,,,,,,,,,,
3592.6999999284744,,intro_1,87483,instruct,,0,,,,,,,,,,,,,,,,
4502.5,,intro_2,91988,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,93990,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,94993,<p></p>,,,,null,,,,,,,,,,,,,,
5085.799999952316,,intro_1,100080,instruct,,0,,,,,,,,,,,,,,,,
5800.399999976158,,intro_2,105883,instruct,,1,Next,,,,,,,,,,,,,,,
20379.400000095367,,intro_3,126265,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126909,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,127671,prac_stop_color,,,,null,,,,,,,,,,,,,,
31.200000047683716,,prac_atten_color_black,129677,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,130326,black_plus_sign,,,,null,,,,,,,,,,,,,,
569.8999999761581,,prac_atten_color,131397,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,133400,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,133736,black_plus_sign,,,,null,,,,,,,,,,,,,,
484.39999997615814,,prac_atten_color,134692,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,136694,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,137145,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,137645,prac_stop_color,,,,null,,,,,,,,,,,,,,
362.89999997615814,,prac_atten_color_black,139646,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,140557,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,141253,prac_stop_color,,,,null,,,,,,,,,,,,,,
301.5,,prac_atten_color_black,143255,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,143966,black_plus_sign,,,,null,,,,,,,,,,,,,,
705.7000000476837,,prac_atten_color,144911,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,146921,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,147383,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,147810,prac_stop_color,,,,null,,,,,,,,,,,,,,
