rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
132418.39999999106,{worker_id:67dcc12657e2fe1375df7f89},id_enter,132428,id_enter,GW/hat.jpg; GW/camera.jpg; GW/soldier.jpg; GW/jukebox.jpg; GW/barrel.jpg; GW/snail.jpg; GW/wheelchair.jpg; GW/basket.jpg; GW/teeth.jpg; GW/paint.jpg; GW/dustpan.jpg; GW/globe.jpg; GW/gong.jpg,,,,,,,,,,,,,,,,,
199738.89999999106,,fullscreen,332185,fullscreen,,0,,,,,,,,,,,,,,,,
140040.69999998808,,intro_1,472232,instruct,,0,,,,,,,,,,,,,,,,
21067.79999999702,,intro_2,493304,instruct,,1,Next,,,,,,,,,,,,,,,
21868,,intro_3,515176,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,517188,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,518204,<p></p>,,,,null,,,,,,,,,,,,,,
98754.90000000596,,intro_1,616961,instruct,,0,,,,,,,,,,,,,,,,
155355.29999999702,,intro_2,772320,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,774336,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,775340,<p></p>,,,,null,,,,,,,,,,,,,,
161994.5,,intro_1,937336,instruct,,0,,,,,,,,,,,,,,,,
10732.89999999106,,intro_2,948072,instruct,,1,Next,,,,,,,,,,,,,,,
642228.299999997,,intro_3,1590304,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,1590701,black_plus_sign,,,,null,,,,,,,,,,,,,,
430.1000000089407,,prac_atten_color,1591735,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1593742,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1594139,black_plus_sign,,,,null,,,,,,,,,,,,,,
415.5,,prac_atten_color,1595170,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1597184,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1597566,black_plus_sign,,,,null,,,,,,,,,,,,,,
592.7999999970198,,prac_atten_color,1598411,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1600429,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1601012,black_plus_sign,,,,null,,,,,,,,,,,,,,
480.40000000596046,,prac_atten_color,1601524,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1603533,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1604434,black_plus_sign,,,,null,,,,,,,,,,,,,,
451.29999999701977,,prac_atten_color,1605352,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1607358,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1607872,black_plus_sign,,,,null,,,,,,,,,,,,,,
528.0999999940395,,prac_atten_color,1608540,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1610543,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1611299,black_plus_sign,,,,null,,,,,,,,,,,,,,
487.90000000596046,,prac_atten_color,1611963,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1613967,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1614738,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,1615213,prac_stop_color,,,,null,,,,,,,,,,,,,,
81,,prac_atten_color_black,1617219,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1618172,black_plus_sign,,,,null,,,,,,,,,,,,,,
407.09999999403954,,prac_atten_color,1618726,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1620733,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1621603,black_plus_sign,,,,null,,,,,,,,,,,,,,
511.5,,prac_atten_color,1622449,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1624453,black_plus_sign,,,,null,,,,,,,,,,,,,,
33491.09999999404,,attentioncheck_feedback,1657947,cross_check_feedback,,0,,,,,,,,,,,,,,,,
248890.90000000596,,last_instruct,1906840,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),1908847,black_plus_sign,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1909637,blue,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1910139,blue,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
958.0999999940395,,rt_thecrossant_black,1911365,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,1911475,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1913494,black_plus_sign,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1914531,blue,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1915039,blue,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
873.0999999940395,,rt_thecrossant_black,1916029,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,1916136,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1918143,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1918664,blue,,,,null,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
447.79999999701977,,rt_plussign_withcolor,1919168,blue,,,,49,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,1920660,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,1920765,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1922774,black_plus_sign,,,,null,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1923489,green,,,,null,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
442,,rt_plussign_withcolor,1924006,green,,,,50,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,1925313,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,1925427,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1927443,black_plus_sign,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1928481,green,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1928997,green,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
1106.7000000029802,,rt_thecrossant_black,1929975,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1930092,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1932096,black_plus_sign,,,,null,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1932637,blue,,,,null,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
423.5,,rt_plussign_withcolor,1933144,blue,,,,49,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,1934631,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,1934741,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1936758,black_plus_sign,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1937608,green,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1938111,green,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
689,,rt_thecrossant_black,1939284,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1939396,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1941404,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1942179,green,,,,null,GW/wheelchair.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1942694,green,,,,null,GW/wheelchair.jpg,GW/teeth.jpg,,,,,,,,,,,,
941.4000000059605,,rt_thecrossant_black,1943950,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1944069,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1946075,black_plus_sign,,,,null,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1946961,blue,,,,null,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
441.5,,rt_plussign_withcolor,1947463,blue,,,,49,GW/soldier.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,1948593,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,1948700,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1950708,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1951251,green,,,,null,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1951752,green,,,,null,GW/wheelchair.jpg,GW/basket.jpg,,,,,,,,,,,,
1058.2999999970198,,rt_thecrossant_black,1953229,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1953339,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1955356,black_plus_sign,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1956329,green,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1956842,green,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
692.1999999880791,,rt_thecrossant_black,1957876,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1957986,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1959995,black_plus_sign,,,,null,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1961092,green,,,,null,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1961599,green,,,,null,GW/snail.jpg,GW/teeth.jpg,,,,,,,,,,,,
1136.5,,rt_thecrossant_black,1962514,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,1962624,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1964633,black_plus_sign,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1965472,blue,,,,null,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
484.29999999701977,,rt_plussign_withcolor,1965976,blue,,,,49,GW/camera.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,1967156,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,1967265,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1969280,black_plus_sign,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1970340,blue,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1970844,blue,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
1076,,rt_thecrossant_black,1971807,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,1971919,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1973936,black_plus_sign,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1974433,blue,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1974947,blue,,,,null,GW/camera.jpg,GW/soldier.jpg,,,,,,,,,,,,
1206.1000000089407,,rt_thecrossant_black,1976471,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,1976580,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1978593,black_plus_sign,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1979260,blue,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1979762,blue,,,,null,GW/basket.jpg,GW/teeth.jpg,,,,,,,,,,,,
624.6999999880791,,rt_thecrossant_black,1981104,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,1981214,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),1983221,black_plus_sign,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,black_cross(without_color),1983848,blue,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,1984355,blue,,,,null,GW/basket.jpg,GW/paint.jpg,,,,,,,,,,,,
763.2999999970198,,rt_thecrossant_black,1985747,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
