rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
4833.5,{worker_id:67ef8c6bf0eff27d92180ffe},id_enter,4843,id_enter,GW/jukebox.jpg; GW/wheelchair.jpg; GW/camera.jpg; GW/basket.jpg; GW/hat.jpg; GW/globe.jpg; GW/paint.jpg; GW/teeth.jpg; GW/snail.jpg; GW/dustpan.jpg; GW/barrel.jpg; GW/gong.jpg; GW/soldier.jpg,,,,,,,,,,,,,,,,,
23712.900000002235,,fullscreen,28586,fullscreen,,0,,,,,,,,,,,,,,,,
16819.300000000745,,intro_1,45417,instruct,,0,,,,,,,,,,,,,,,,
24136.70000000298,,intro_2,69560,instruct,,1,Next,,,,,,,,,,,,,,,
24155.39999999851,,intro_3,93719,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,95726,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,96731,<p></p>,,,,null,,,,,,,,,,,,,,
7793.5,,intro_1,104528,instruct,,0,,,,,,,,,,,,,,,,
9730.300000000745,,intro_2,114265,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,116273,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,117276,<p></p>,,,,null,,,,,,,,,,,,,,
4089.800000000745,,intro_1,121369,instruct,,0,,,,,,,,,,,,,,,,
6475.10000000149,,intro_2,127849,instruct,,1,Next,,,,,,,,,,,,,,,
52058.800000000745,,intro_3,179912,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,180774,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,181332,prac_stop_color,,,,null,,,,,,,,,,,,,,
220.5,,prac_atten_color_black,183346,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,184198,black_plus_sign,,,,null,,,,,,,,,,,,,,
476.69999999925494,,prac_atten_color,184837,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,186842,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,187612,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,188025,prac_stop_color,,,,null,,,,,,,,,,,,,,
410.30000000074506,,prac_atten_color_black,190028,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,191034,black_plus_sign,,,,null,,,,,,,,,,,,,,
455.79999999701977,,prac_atten_color,192093,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,194101,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,194461,black_plus_sign,,,,null,,,,,,,,,,,,,,
425.70000000298023,,prac_atten_color,195076,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,197079,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,197882,black_plus_sign,,,,null,,,,,,,,,,,,,,
481.30000000074506,,prac_atten_color,198612,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,200615,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,201293,black_plus_sign,,,,null,,,,,,,,,,,,,,
