rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
2757.199999809265,{worker_id:3007},id_enter,2759,interleaved,id_enter,GW/dustpan.jpg; GW/hat.jpg; GW/basket.jpg; GW/soldier.jpg; GW/paint.jpg; GW/snail.jpg; GW/jukebox.jpg; GW/wheelchair.jpg; GW/gong.jpg; GW/camera.jpg; GW/teeth.jpg; GW/barrel.jpg; GW/globe.jpg,,,,,,,,,,,,,,,,,,,,,,
1458.5,,fullscreen,4221,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,
1166.3999996185303,,intro_1,5389,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
1114.6999998092651,,intro_2,6506,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
933.6000003814697,,intro_3,7441,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,10445,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,11451,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,
568.3000001907349,,intro_1,12020,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
709.5,,intro_2,12731,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,15733,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,16735,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,
624.5,,intro_1,17361,,instruct,,0,,,,,,,,,,,,,,,,,,,,,
3150.199999809265,,intro_2,20513,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
2346.8999996185303,,intro_3,22862,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,23875,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
334.79999923706055,,prac_atten_color,24296,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,26308,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,27322,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,27916,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
65.40000057220459,,prac_atten_color_black,29926,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,30760,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
496.29999923706055,,prac_atten_color,31855,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,33864,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,34200,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
499.9000005722046,,prac_atten_color,35033,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,37046,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,37636,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
674.6999998092651,,prac_atten_color,38663,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,40675,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
4820.5,,attentioncheck_help,45496,,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,45879,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,46494,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
182.60000038146973,,prac_atten_color_black,48504,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,
2612,,attentioncheck_help,51118,,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,51926,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
455.3999996185303,,prac_atten_color,52535,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,54540,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,55341,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
467.4000005722046,,prac_atten_color,56173,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,58180,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
1133.3000001907349,,attentioncheck_help,59314,,instruct,,,,32,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,59897,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,60385,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,
330.5,,prac_atten_color_black,62394,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,63324,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
