rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
3767.1000003814697,{worker_id:3007},id_enter,3769,blocked,id_enter,GW/hat.jpg; GW/basket.jpg; GW/snail.jpg; GW/globe.jpg; GW/wheelchair.jpg; GW/barrel.jpg; GW/jukebox.jpg; GW/paint.jpg; GW/gong.jpg; GW/soldier.jpg; GW/camera.jpg; GW/dustpan.jpg; GW/teeth.jpg,,,,,,,
1248.9000005722046,,fullscreen,5024,,fullscreen,,0,,,,,,
,,Goal Directed Planning,168244,,GDP-0,,,hat,dustpan,,undefinedimgLdrag10:[x1:74.20001220703125 x2:570.5999908447266 y1:210.00003051757812 y2:252.18753051757812]drag10imgR:[x1:570.5999908447266 x2:1074.2000274658203 y1:252.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,240164,,GDP-1,,,wheelchair,dustpan,,undefinedimgLdrag01:[x1:74.20001220703125 x2:581.5999908447266 y1:210.00003051757812 y2:289.1875305175781]drag01imgR:[x1:581.5999908447266 x2:1074.2000274658203 y1:289.1875305175781 y2:210.00003051757812],true,undefineddrag04imgL:[x1:342.00001525878906 x2:74.20001220703125 y1:177.00003051757812 y2:210.00003051757812]drag04imgR:[x1:342.00001525878906 x2:1074.2000274658203 y1:177.00003051757812 y2:210.00003051757812]
,,Goal Directed Planning,363983,,GDP-2,,,basket,soldier,,undefinedimgLdrag13:[x1:74.20001220703125 x2:263.6000213623047 y1:210.00003051757812 y2:140.18753051757812]drag13drag05:[x1:263.6000213623047 x2:533.5999908447266 y1:140.18753051757812 y2:125.18753051757812]drag05drag01:[x1:534.0000152587891 x2:729.5999908447266 y1:125.00003051757812 y2:145.18753051757812]drag01imgR:[x1:729.5999908447266 x2:1074.2000274658203 y1:145.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag08:[x1:74.20001220703125 x2:259.6000213623047 y1:210.00003051757812 y2:118.18753051757812]drag08drag11:[x1:259.6000213623047 x2:574.0000152587891 y1:118.18753051757812 y2:222.00003051757812]drag11drag03:[x1:574.0000152587891 x2:799.0000152587891 y1:222.00003051757812 y2:218.00003051757812]drag03imgR:[x1:799.0000152587891 x2:1074.2000274658203 y1:218.00003051757812 y2:210.00003051757812]
,,Goal Directed Planning,374211,,GDP-3,,,snail,gong,,undefinedimgLdrag10:[x1:74.20001220703125 x2:511.59999084472656 y1:210.00003051757812 y2:190.18753051757812]drag10imgR:[x1:511.59999084472656 x2:1074.2000274658203 y1:190.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,384609,,GDP-4,,,globe,jukebox,,undefinedimgLdrag06:[x1:74.20001220703125 x2:335.6000213623047 y1:210.00003051757812 y2:223.18753051757812]drag06drag02:[x1:335.6000213623047 x2:680.5999908447266 y1:223.18753051757812 y2:186.18753051757812]drag02imgR:[x1:680.5999908447266 x2:1074.2000274658203 y1:186.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,461521,,GDP-5,,,paint,dustpan,,undefinedimgLdrag11:[x1:74.20001220703125 x2:356.6000213623047 y1:210.00003051757812 y2:207.18753051757812]drag11drag05:[x1:356.6000213623047 x2:729.5999908447266 y1:207.18753051757812 y2:146.18753051757812]drag05drag01:[x1:729.5999908447266 x2:920.0000762939453 y1:146.18753051757812 y2:212.00003051757812]drag01imgR:[x1:920.0000762939453 x2:1074.2000274658203 y1:212.00003051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,492701,,GDP-6,,,gong,soldier,,undefinedimgLdrag08:[x1:74.20001220703125 x2:532.5999908447266 y1:210.00003051757812 y2:218.18753051757812]drag08imgR:[x1:532.5999908447266 x2:1074.2000274658203 y1:218.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,592675,,GDP-7,,,globe,gong,,undefinedimgLdrag06:[x1:74.19999694824219 x2:266.00001525878906 y1:210.00003051757812 y2:289.0000305175781]drag06drag08:[x1:266.00001525878906 x2:372.00001525878906 y1:289.0000305175781 y2:109]drag08drag13:[x1:372.00001525878906 x2:534.9999847412109 y1:109 y2:111]drag13drag05:[x1:534.9999847412109 x2:685.6000213623047 y1:111 y2:228.18753051757812]drag05drag01:[x1:685.6000213623047 x2:827.9999847412109 y1:228.18753051757812 y2:126.1875]drag01drag10:[x1:827.9999847412109 x2:920.0000457763672 y1:126.1875 y2:287.0000305175781]drag10imgR:[x1:920.0000457763672 x2:1074.1999969482422 y1:287.0000305175781 y2:210.00003051757812],false,
