rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
20622.800000190735,{worker_id:3075},id_enter,20627,id_enter,GW/camera.jpg; GW/soldier.jpg; GW/barrel.jpg; GW/basket.jpg; GW/hat.jpg; GW/snail.jpg; GW/paint.jpg; GW/gong.jpg; GW/dustpan.jpg; GW/teeth.jpg; GW/jukebox.jpg; GW/wheelchair.jpg; GW/globe.jpg,,,,,,,,,,,,,,,,,
5423,,fullscreen,26058,fullscreen,,0,,,,,,,,,,,,,,,,
17148.5,,intro_1,43219,instruct,,0,,,,,,,,,,,,,,,,
15226.5,,intro_2,58456,instruct,,1,Next,,,,,,,,,,,,,,,
12671.5,,intro_3,71130,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,74141,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,75148,<p></p>,,,,null,,,,,,,,,,,,,,
14816.299999952316,,intro_1,89966,instruct,,0,,,,,,,,,,,,,,,,
6858.900000095367,,intro_2,96834,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,99840,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,100842,<p></p>,,,,null,,,,,,,,,,,,,,
3397.2999999523163,,intro_1,104242,instruct,,0,,,,,,,,,,,,,,,,
5147.799999952316,,intro_2,109391,instruct,,1,Next,,,,,,,,,,,,,,,
23077.400000095367,,intro_3,132471,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,133156,black_plus_sign,,,,null,,,,,,,,,,,,,,
372.7999999523163,,prac_atten_color,133882,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,135888,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,136573,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,137183,prac_stop_color,,,,null,,,,,,,,,,,,,,
81.59999990463257,,prac_atten_color_black,139188,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,140006,black_plus_sign,,,,null,,,,,,,,,,,,,,
521.3999998569489,,prac_atten_color,140981,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,142995,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,143433,black_plus_sign,,,,null,,,,,,,,,,,,,,
364.09999990463257,,prac_atten_color,144100,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,146106,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,146865,black_plus_sign,,,,null,,,,,,,,,,,,,,
395.90000009536743,,prac_atten_color,147428,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,149439,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,150298,black_plus_sign,,,,null,,,,,,,,,,,,,,
379.7000000476837,,prac_atten_color,151406,prac_stop_color,,,,49,,,,,,,,,,,,,,
