rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
6519.400000035763,{worker_id:638476f72ab8021be345e3ac},id_enter,6523,blocked,replication,GW/leesburg.png; GW/hotsprings.png; GW/cornwall.png; GW/carmel.png; GW/westpalmbeach.png; GW/shreveport.png; GW/peoria.png; GW/hanover.png; GW/newhope.png; GW/gatlinburg.png; GW/huntsville.png; GW/racine.png; GW/boulder.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754.300000011921,,fullscreen,19283,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9783.5,,intro_1,29076,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14072.300000011921,,intro_2,43152,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8345.199999988079,,intro_3,51500,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,54503,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,55509,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
3286,,intro_1,58798,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7039.699999988079,,intro_2,65839,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,68842,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,69846,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738.5,,intro_1,71588,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413.199999988079,,intro_2,75003,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71379.60000002384,,intro_3,146384,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,147205,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,147789,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,149792,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
