rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
26962,{worker_id:5d4ac837d2844e0001ecf699},id_enter,26965,id_enter,GW/paint.jpg; GW/jukebox.jpg; GW/camera.jpg; GW/teeth.jpg; GW/dustpan.jpg; GW/snail.jpg; GW/gong.jpg; GW/globe.jpg; GW/basket.jpg; GW/barrel.jpg; GW/wheelchair.jpg; GW/soldier.jpg; GW/hat.jpg,,,,,,,,,,,,,,,,,
24904,,fullscreen,51879,fullscreen,,0,,,,,,,,,,,,,,,,
1811895.2999999523,,intro_1,1863816,instruct,,0,,,,,,,,,,,,,,,,
12722.700000047684,,intro_2,1876541,instruct,,1,Next,,,,,,,,,,,,,,,
11128.800000190735,,intro_3,1887672,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,1889674,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,1890676,<p></p>,,,,null,,,,,,,,,,,,,,
3429.5,,intro_1,1894107,instruct,,0,,,,,,,,,,,,,,,,
6560.599999904633,,intro_2,1900669,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,1902672,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,1903675,<p></p>,,,,null,,,,,,,,,,,,,,
2486.9000000953674,,intro_1,1906163,instruct,,0,,,,,,,,,,,,,,,,
6323.900000095367,,intro_2,1912490,instruct,,1,Next,,,,,,,,,,,,,,,
26705.800000190735,,intro_3,1939197,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,1939507,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,1940602,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1942615,black_plus_sign,,,,null,,,,,,,,,,,,,,
12762.900000095367,,attentioncheck_help,1955380,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,1955691,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,1956293,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1958295,black_plus_sign,,,,null,,,,,,,,,,,,,,
3753.7999999523163,,attentioncheck_help,1962050,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,1962855,black_plus_sign,,,,null,,,,,,,,,,,,,,
812.6000001430511,,prac_atten_color,1963683,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1965685,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1966260,black_plus_sign,,,,null,,,,,,,,,,,,,,
484.89999985694885,,prac_atten_color,1967241,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1969243,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1969682,black_plus_sign,,,,null,,,,,,,,,,,,,,
446.2000000476837,,prac_atten_color,1970617,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1972620,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1973088,black_plus_sign,,,,null,,,,,,,,,,,,,,
705.7000000476837,,prac_atten_color,1973942,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,1975944,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1976497,black_plus_sign,,,,null,,,,,,,,,,,,,,
508.89999985694885,,prac_atten_color,1977364,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,1979366,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,1979904,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,1980318,prac_stop_color,,,,null,,,,,,,,,,,,,,
78.40000009536743,,prac_atten_color_black,1982319,black_plus_sign,,,,50,,,,,,,,,,,,,,
