rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
4662.700000762939,{worker_id:611b09935cd6e67f2b5e9ea2},id_enter,4669,id_enter,GW/jukebox.jpg; GW/wheelchair.jpg; GW/snail.jpg; GW/teeth.jpg; GW/hat.jpg; GW/soldier.jpg; GW/globe.jpg; GW/basket.jpg; GW/gong.jpg; GW/paint.jpg; GW/camera.jpg; GW/barrel.jpg; GW/dustpan.jpg,,,,,,,,,,,,,,,,,
16930.79999923706,,fullscreen,21602,fullscreen,,0,,,,,,,,,,,,,,,,
12811.39999961853,,intro_1,34416,instruct,,0,,,,,,,,,,,,,,,,
13795.5,,intro_2,48212,instruct,,1,Next,,,,,,,,,,,,,,,
9149.39999961853,,intro_3,57362,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,59365,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,60367,<p></p>,,,,null,,,,,,,,,,,,,,
3187.2999992370605,,intro_1,63555,instruct,,0,,,,,,,,,,,,,,,,
14723.199999809265,,intro_2,78279,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,80281,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,81282,<p></p>,,,,null,,,,,,,,,,,,,,
3391,,intro_1,84679,instruct,,0,,,,,,,,,,,,,,,,
8851.300000190735,,intro_2,93531,instruct,,1,Next,,,,,,,,,,,,,,,
23371,,intro_3,116903,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,117643,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,118307,prac_stop_color,,,,null,,,,,,,,,,,,,,
292.6000003814697,,prac_atten_color_black,120308,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,121050,black_plus_sign,,,,null,,,,,,,,,,,,,,
1031.1999998092651,,prac_atten_color,122117,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,124124,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,124462,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,124998,prac_stop_color,,,,null,,,,,,,,,,,,,,
230.19999980926514,,prac_atten_color_black,126999,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,127866,black_plus_sign,,,,null,,,,,,,,,,,,,,
1024.6000003814697,,prac_atten_color,128935,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,130937,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,131271,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,132001,prac_stop_color,,,,null,,,,,,,,,,,,,,
311.3999996185303,,prac_atten_color_black,134003,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,134678,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,135475,prac_stop_color,,,,null,,,,,,,,,,,,,,
28.5,,prac_atten_color_black,137476,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,138083,black_plus_sign,,,,null,,,,,,,,,,,,,,
788.0999994277954,,prac_atten_color,139091,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,141106,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,141501,black_plus_sign,,,,null,,,,,,,,,,,,,,
