rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
2877.399999856949,{worker_id:62926b2bba027005e0a84475},id_enter,2878,id_enter,GW/hat.jpg; GW/barrel.jpg; GW/paint.jpg; GW/soldier.jpg; GW/dustpan.jpg; GW/jukebox.jpg; GW/basket.jpg; GW/camera.jpg; GW/snail.jpg; GW/gong.jpg; GW/teeth.jpg; GW/wheelchair.jpg; GW/globe.jpg,,,,,,,,,,,,,,,,,
10968.899999856949,,fullscreen,13852,fullscreen,,0,,,,,,,,,,,,,,,,
10383.5,,intro_1,24237,instruct,,0,,,,,,,,,,,,,,,,
7991.600000143051,,intro_2,32230,instruct,,1,Next,,,,,,,,,,,,,,,
4197.200000047684,,intro_3,36428,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,38430,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,39435,<p></p>,,,,null,,,,,,,,,,,,,,
1784.0999999046326,,intro_1,41220,instruct,,0,,,,,,,,,,,,,,,,
1501.3000001907349,,intro_2,42722,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,44723,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,45725,<p></p>,,,,null,,,,,,,,,,,,,,
1232,,intro_1,46958,instruct,,0,,,,,,,,,,,,,,,,
4337.200000047684,,intro_2,51296,instruct,,1,Next,,,,,,,,,,,,,,,
9229,,intro_3,60526,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,60921,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,61931,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,63934,black_plus_sign,,,,null,,,,,,,,,,,,,,
16788.700000047684,,attentioncheck_help,80723,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,81118,black_plus_sign,,,,null,,,,,,,,,,,,,,
758.5,,prac_atten_color,82115,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,84117,black_plus_sign,,,,null,,,,,,,,,,,,,,
1711.1000001430511,,attentioncheck_help,85829,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,86240,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,86976,prac_stop_color,,,,null,,,,,,,,,,,,,,
1132,,prac_atten_color_black,88977,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,89647,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,90348,prac_stop_color,,,,null,,,,,,,,,,,,,,
95.79999995231628,,prac_atten_color_black,92350,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,93054,black_plus_sign,,,,null,,,,,,,,,,,,,,
468.2000000476837,,prac_atten_color,93898,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,95900,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,96471,black_plus_sign,,,,null,,,,,,,,,,,,,,
540.0999999046326,,prac_atten_color,97025,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,99027,black_plus_sign,,,,null,,,,,,,,,,,,,,
5376.700000047684,,attentioncheck_help,104405,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,105254,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,105697,prac_stop_color,,,,null,,,,,,,,,,,,,,
250,,prac_atten_color_black,107699,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,108662,black_plus_sign,,,,null,,,,,,,,,,,,,,
