rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
8796.199999988079,{worker_id:6526f601bedbae17738408b1},id_enter,8800,id_enter,GW/wheelchair.jpg; GW/snail.jpg; GW/camera.jpg; GW/basket.jpg; GW/gong.jpg; GW/globe.jpg; GW/hat.jpg; GW/teeth.jpg; GW/barrel.jpg; GW/paint.jpg; GW/jukebox.jpg; GW/dustpan.jpg; GW/soldier.jpg,,,,,,,,,,,,,,,,,
20883.399999976158,,fullscreen,29685,fullscreen,,0,,,,,,,,,,,,,,,,
24310.899999976158,,intro_1,53998,instruct,,0,,,,,,,,,,,,,,,,
8456.699999988079,,intro_2,62455,instruct,,1,Next,,,,,,,,,,,,,,,
13178.899999976158,,intro_3,75635,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,77643,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,78656,<p></p>,,,,null,,,,,,,,,,,,,,
2958.100000023842,,intro_1,81615,instruct,,0,,,,,,,,,,,,,,,,
4045.899999976158,,intro_2,85662,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,87663,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,88665,<p></p>,,,,null,,,,,,,,,,,,,,
2555.100000023842,,intro_1,91221,instruct,,0,,,,,,,,,,,,,,,,
2781.599999964237,,intro_2,94003,instruct,,1,Next,,,,,,,,,,,,,,,
53387.299999952316,,intro_3,147391,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,148105,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,148806,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,150807,black_plus_sign,,,,null,,,,,,,,,,,,,,
5254.5,,attentioncheck_help,156064,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,156768,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,157173,prac_stop_color,,,,null,,,,,,,,,,,,,,
228.19999998807907,,prac_atten_color_black,159176,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,160187,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,161114,prac_stop_color,,,,null,,,,,,,,,,,,,,
530.3999999761581,,prac_atten_color_black,163122,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,163600,black_plus_sign,,,,null,,,,,,,,,,,,,,
862.7999999523163,,prac_atten_color,164479,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,166481,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,167012,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,167559,prac_stop_color,,,,null,,,,,,,,,,,,,,
186.19999998807907,,prac_atten_color_black,169560,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,170418,black_plus_sign,,,,null,,,,,,,,,,,,,,
726.1999999880791,,prac_atten_color,171245,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,173256,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,173832,black_plus_sign,,,,null,,,,,,,,,,,,,,
595.9000000357628,,prac_atten_color,174462,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,176464,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,177240,black_plus_sign,,,,null,,,,,,,,,,,,,,
502.2999999523163,,prac_atten_color,177883,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,179885,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,180646,black_plus_sign,,,,null,,,,,,,,,,,,,,
621.4000000357628,,prac_atten_color,181632,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,183649,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,184068,black_plus_sign,,,,null,,,,,,,,,,,,,,
654,,prac_atten_color,185015,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,187023,black_plus_sign,,,,null,,,,,,,,,,,,,,
9171.600000023842,,attentioncheck_feedback,196197,cross_check_feedback,,0,,,,,,,,,,,,,,,,
35753.5,,last_instruct,231951,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),233954,black_plus_sign,,,,null,GW/camera.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),234682,blue,,,,null,GW/camera.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,235185,blue,,,,null,GW/camera.jpg,GW/globe.jpg,,,,,,,,,,,,
1032.800000011921,,rt_thecrossant_black,236462,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,236564,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),238566,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),239411,green,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,239913,green,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
648.5,,rt_thecrossant_black,241080,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,241189,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),243200,black_plus_sign,,,,null,GW/hat.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),243895,green,,,,null,GW/hat.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,244398,green,,,,null,GW/hat.jpg,GW/teeth.jpg,,,,,,,,,,,,
1311.699999988079,,rt_thecrossant_black,245707,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,245820,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),247827,black_plus_sign,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),248533,blue,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,249051,blue,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
1060.300000011921,,rt_thecrossant_black,250350,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,250452,black_plus_sign,,,,null,,,,,,,,,,,,,,
