rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
16592.899999976158,{worker_id:65958f57929aaa555306baf9},id_enter,16595,id_enter,GW/teeth.jpg; GW/gong.jpg; GW/globe.jpg; GW/barrel.jpg; GW/paint.jpg; GW/jukebox.jpg; GW/dustpan.jpg; GW/hat.jpg; GW/basket.jpg; GW/wheelchair.jpg; GW/soldier.jpg; GW/camera.jpg; GW/snail.jpg,,,,,,,,,,,,,,,,,
42732.10000002384,,fullscreen,59332,fullscreen,,0,,,,,,,,,,,,,,,,
54407,,intro_1,113742,instruct,,0,,,,,,,,,,,,,,,,
5640.300000011921,,intro_2,119384,instruct,,1,Next,,,,,,,,,,,,,,,
96131.69999998808,,intro_3,215519,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,217521,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,218524,<p></p>,,,,null,,,,,,,,,,,,,,
6489,,intro_1,225014,instruct,,0,,,,,,,,,,,,,,,,
4276.600000023842,,intro_2,229292,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,231295,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,232298,<p></p>,,,,null,,,,,,,,,,,,,,
1217.6000000238419,,intro_1,233516,instruct,,0,,,,,,,,,,,,,,,,
2474.5,,intro_2,235992,instruct,,1,Next,,,,,,,,,,,,,,,
132631.59999996424,,intro_3,368628,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,369457,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,370034,prac_stop_color,,,,null,,,,,,,,,,,,,,
70.10000002384186,,prac_atten_color_black,372036,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,372866,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,373284,prac_stop_color,,,,null,,,,,,,,,,,,,,
95.60000002384186,,prac_atten_color_black,375287,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,376274,black_plus_sign,,,,null,,,,,,,,,,,,,,
499.2000000476837,,prac_atten_color,376827,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,378830,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,379681,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,380500,prac_stop_color,,,,null,,,,,,,,,,,,,,
224.9000000357628,,prac_atten_color_black,382503,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,383089,black_plus_sign,,,,null,,,,,,,,,,,,,,
586.5999999642372,,prac_atten_color,383780,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,385782,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,386497,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,386994,prac_stop_color,,,,null,,,,,,,,,,,,,,
86,,prac_atten_color_black,388997,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,389904,black_plus_sign,,,,null,,,,,,,,,,,,,,
774.1999999880791,,prac_atten_color,390750,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,392753,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,393312,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,394003,prac_stop_color,,,,null,,,,,,,,,,,,,,
240.0999999642372,,prac_atten_color_black,396005,black_plus_sign,,,,49,,,,,,,,,,,,,,
16919.899999976158,,attentioncheck_help,412927,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,413640,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,414368,prac_stop_color,,,,null,,,,,,,,,,,,,,
243.80000001192093,,prac_atten_color_black,416370,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,417047,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,417515,prac_stop_color,,,,null,,,,,,,,,,,,,,
26.399999976158142,,prac_atten_color_black,419518,black_plus_sign,,,,49,,,,,,,,,,,,,,
4046.600000023842,,attentioncheck_feedback,423566,cross_check_feedback,,0,,,,,,,,,,,,,,,,
30079.599999964237,,last_instruct,453647,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),455649,black_plus_sign,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),456430,green,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,456933,green,,,,null,GW/globe.jpg,GW/soldier.jpg,,,,,,,,,,,,
1122.1000000238419,,rt_thecrossant_black,458158,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,458261,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),460265,black_plus_sign,,,,null,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),460894,green,,,,null,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
464.10000002384186,,rt_plussign_withcolor,461396,green,,,,50,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,462773,black_plus_sign,,,,null,,,1,1,,,,,,,,,,
null,,color_black,462875,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),464877,black_plus_sign,,,,null,GW/hat.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),465299,green,,,,null,GW/hat.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,465800,green,,,,null,GW/hat.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
735,,rt_thecrossant_black,467384,black_plus_sign,,,,49,,,0,0.6666666666666666,,,,,,,,,,
null,,color_black,467487,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),469490,black_plus_sign,,,,null,GW/teeth.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),470174,green,,,,null,GW/teeth.jpg,GW/gong.jpg,,,,,,,,,,,,
457.19999998807907,,rt_plussign_withcolor,470675,green,,,,50,GW/teeth.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,471996,black_plus_sign,,,,null,,,1,0.75,,,,,,,,,,
null,,color_black,472099,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),474102,black_plus_sign,,,,null,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),474675,green,,,,null,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,475178,green,,,,null,GW/dustpan.jpg,GW/basket.jpg,,,,,,,,,,,,
787,,rt_thecrossant_black,476610,black_plus_sign,,,,50,,,1,0.8,,,,,,,,,,
null,,color_black,476712,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),478714,black_plus_sign,,,,null,GW/barrel.jpg,GW/camera.jpg,,,,,,,,,,,,
null,,black_cross(without_color),479194,green,,,,null,GW/barrel.jpg,GW/camera.jpg,,,,,,,,,,,,
468.10000002384186,,rt_plussign_withcolor,479697,green,,,,50,GW/barrel.jpg,GW/camera.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,481223,black_plus_sign,,,,null,,,1,0.8333333333333334,,,,,,,,,,
null,,color_black,481326,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),483329,black_plus_sign,,,,null,GW/soldier.jpg,GW/camera.jpg,,,,,,,,,,,,
null,,black_cross(without_color),484125,blue,,,,null,GW/soldier.jpg,GW/camera.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,484628,blue,,,,null,GW/soldier.jpg,GW/camera.jpg,,,,,,,,,,,,
583.3000000119209,,rt_thecrossant_black,485836,black_plus_sign,,,,49,,,1,0.8571428571428571,,,,,,,,,,
null,,color_black,485938,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),487943,black_plus_sign,,,,null,GW/basket.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),489043,blue,,,,null,GW/basket.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,489546,blue,,,,null,GW/basket.jpg,GW/soldier.jpg,,,,,,,,,,,,
