rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
44618.300000071526,{worker_id:66660a053b08e2a34f9b945c},id_enter,44619,id_enter,GW/paint.jpg; GW/barrel.jpg; GW/wheelchair.jpg; GW/jukebox.jpg; GW/dustpan.jpg; GW/snail.jpg; GW/camera.jpg; GW/basket.jpg; GW/gong.jpg; GW/teeth.jpg; GW/soldier.jpg; GW/globe.jpg; GW/hat.jpg,,,,,,,,,,,,,,,,,
60877.700000047684,,fullscreen,105499,fullscreen,,0,,,,,,,,,,,,,,,,
42910.60000002384,,intro_1,148410,instruct,,0,,,,,,,,,,,,,,,,
42870.89999997616,,intro_2,191283,instruct,,1,Next,,,,,,,,,,,,,,,
7847,,intro_3,199130,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,201132,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,202134,<p></p>,,,,null,,,,,,,,,,,,,,
12620.100000023842,,intro_1,214754,instruct,,0,,,,,,,,,,,,,,,,
3815.2999999523163,,intro_2,218570,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,220572,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,221573,<p></p>,,,,null,,,,,,,,,,,,,,
18612.399999976158,,intro_1,240186,instruct,,0,,,,,,,,,,,,,,,,
11159.400000095367,,intro_2,251347,instruct,,1,Next,,,,,,,,,,,,,,,
94606.70000004768,,intro_3,345954,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,346807,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,347358,prac_stop_color,,,,null,,,,,,,,,,,,,,
316,,prac_atten_color_black,349359,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,350213,black_plus_sign,,,,null,,,,,,,,,,,,,,
588.8999999761581,,prac_atten_color,351023,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,353024,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,353617,black_plus_sign,,,,null,,,,,,,,,,,,,,
608.6000000238419,,prac_atten_color,354669,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,356671,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,357023,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,357482,prac_stop_color,,,,null,,,,,,,,,,,,,,
15.5,,prac_atten_color_black,359483,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,360427,black_plus_sign,,,,null,,,,,,,,,,,,,,
470.90000009536743,,prac_atten_color,361487,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,363490,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,363832,black_plus_sign,,,,null,,,,,,,,,,,,,,
682.2000000476837,,prac_atten_color,364850,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,366851,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,367236,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,367776,prac_stop_color,,,,null,,,,,,,,,,,,,,
233.39999997615814,,prac_atten_color_black,369778,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,370644,black_plus_sign,,,,null,,,,,,,,,,,,,,
565.8999999761581,,prac_atten_color,371236,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,373238,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,374048,black_plus_sign,,,,null,,,,,,,,,,,,,,
673.6000000238419,,prac_atten_color,375052,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,377054,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,377453,black_plus_sign,,,,null,,,,,,,,,,,,,,
653.3000000715256,,prac_atten_color,378467,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,380468,black_plus_sign,,,,null,,,,,,,,,,,,,,
44165.700000047684,,attentioncheck_feedback,424634,cross_check_feedback,,0,,,,,,,,,,,,,,,,
16776,,last_instruct,441411,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),443412,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),444286,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,444788,green,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
1587,,rt_thecrossant_black,445917,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,446018,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),448020,black_plus_sign,,,,null,GW/camera.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,black_cross(without_color),448704,green,,,,null,GW/camera.jpg,GW/hat.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,449205,green,,,,null,GW/camera.jpg,GW/hat.jpg,,,,,,,,,,,,
1242.5,,rt_thecrossant_black,450523,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,450625,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),452626,black_plus_sign,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,black_cross(without_color),453049,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,453550,green,,,,null,GW/barrel.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
858.2999999523163,,rt_thecrossant_black,455131,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,455232,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),457242,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),458307,blue,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,458808,blue,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
690.7999999523163,,rt_thecrossant_black,459759,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,459861,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),461862,black_plus_sign,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),462618,blue,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,463119,blue,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
1360.2000000476837,,rt_thecrossant_black,464367,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,464468,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),466469,black_plus_sign,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,black_cross(without_color),467137,blue,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,467638,blue,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
1106.1000000238419,,rt_thecrossant_black,468973,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,469073,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),471075,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),472154,blue,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,472655,blue,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
897.2999999523163,,rt_thecrossant_black,473587,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,473688,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),475690,black_plus_sign,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),476585,blue,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,477087,blue,,,,null,GW/paint.jpg,GW/barrel.jpg,,,,,,,,,,,,
1492.8999999761581,,rt_thecrossant_black,478195,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,478297,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),480298,black_plus_sign,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,black_cross(without_color),480871,blue,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,481373,blue,,,,null,GW/camera.jpg,GW/basket.jpg,,,,,,,,,,,,
1270.3999999761581,,rt_thecrossant_black,482804,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,482913,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),484914,black_plus_sign,,,,null,GW/snail.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),485785,green,,,,null,GW/snail.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,486287,green,,,,null,GW/snail.jpg,GW/gong.jpg,,,,,,,,,,,,
922,,rt_thecrossant_black,487420,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,487522,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),489524,black_plus_sign,,,,null,GW/basket.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),490279,blue,,,,null,GW/basket.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,490780,blue,,,,null,GW/basket.jpg,GW/gong.jpg,,,,,,,,,,,,
1294.5,,rt_thecrossant_black,492037,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,492139,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),494141,black_plus_sign,,,,null,GW/soldier.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),494595,blue,,,,null,GW/soldier.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,495097,blue,,,,null,GW/soldier.jpg,GW/globe.jpg,,,,,,,,,,,,
1399.1000000238419,,rt_thecrossant_black,496647,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,496749,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),498750,black_plus_sign,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),499576,green,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,500077,green,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
820.6000000238419,,rt_thecrossant_black,501255,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,501357,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),503358,black_plus_sign,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,black_cross(without_color),504006,blue,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,504508,blue,,,,null,GW/jukebox.jpg,GW/dustpan.jpg,,,,,,,,,,,,
1025.5,,rt_thecrossant_black,505863,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,505965,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),507981,black_plus_sign,,,,null,GW/barrel.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),508729,blue,,,,null,GW/barrel.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,509229,blue,,,,null,GW/barrel.jpg,GW/jukebox.jpg,,,,,,,,,,,,
1150.2999999523163,,rt_thecrossant_black,510486,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,510587,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),512593,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),513684,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,514186,blue,,,,null,GW/wheelchair.jpg,GW/soldier.jpg,,,,,,,,,,,,
1126.3999999761581,,rt_thecrossant_black,515098,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,515199,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),517200,black_plus_sign,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),518194,green,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,518695,green,,,,null,GW/jukebox.jpg,GW/globe.jpg,,,,,,,,,,,,
1353.1999999284744,,rt_thecrossant_black,519703,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,519804,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),521806,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),522773,blue,,,,null,GW/wheelchair.jpg,GW/snail.jpg,,,,,,,,,,,,
