rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
20296.19999998808,{worker_id:668c85c9f955972065292902},id_enter,20297,id_enter,GW/wheelchair.jpg; GW/barrel.jpg; GW/gong.jpg; GW/snail.jpg; GW/paint.jpg; GW/dustpan.jpg; GW/hat.jpg; GW/globe.jpg; GW/camera.jpg; GW/jukebox.jpg; GW/teeth.jpg; GW/basket.jpg; GW/soldier.jpg,,,,,,,,,,,,,,,,,
83287.80000001192,,fullscreen,103589,fullscreen,,0,,,,,,,,,,,,,,,,
36455.69999998808,,intro_1,140047,instruct,,0,,,,,,,,,,,,,,,,
43780.299999952316,,intro_2,183828,instruct,,1,Next,,,,,,,,,,,,,,,
25060.80000001192,,intro_3,208890,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,210893,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,211895,<p></p>,,,,null,,,,,,,,,,,,,,
9206.399999976158,,intro_1,221102,instruct,,0,,,,,,,,,,,,,,,,
15106.899999976158,,intro_2,236210,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,238213,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,239215,<p></p>,,,,null,,,,,,,,,,,,,,
10256.200000047684,,intro_1,249473,instruct,,0,,,,,,,,,,,,,,,,
10178.299999952316,,intro_2,259652,instruct,,1,Next,,,,,,,,,,,,,,,
32169.899999976158,,intro_3,291823,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,292250,black_plus_sign,,,,null,,,,,,,,,,,,,,
941.6999999880791,,prac_atten_color,293226,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,295227,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,295654,black_plus_sign,,,,null,,,,,,,,,,,,,,
469.10000002384186,,prac_atten_color,296219,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,298221,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,299075,black_plus_sign,,,,null,,,,,,,,,,,,,,
596.0999999642372,,prac_atten_color,299824,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,301825,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,302479,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,302958,prac_stop_color,,,,null,,,,,,,,,,,,,,
20.799999952316284,,prac_atten_color_black,304960,black_plus_sign,,,,49,,,,,,,,,,,,,,
