rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
6943.199999928474,{worker_id:668d4819f7ea48371e78223f},id_enter,6946,id_enter,GW/soldier.jpg; GW/barrel.jpg; GW/jukebox.jpg; GW/camera.jpg; GW/paint.jpg; GW/basket.jpg; GW/snail.jpg; GW/globe.jpg; GW/gong.jpg; GW/dustpan.jpg; GW/hat.jpg; GW/wheelchair.jpg; GW/teeth.jpg,,,,,,,,,,,,,,,,,
39263.200000047684,,fullscreen,46213,fullscreen,,0,,,,,,,,,,,,,,,,
37790.90000009537,,intro_1,84006,instruct,,0,,,,,,,,,,,,,,,,
35316.60000002384,,intro_2,119324,instruct,,1,Next,,,,,,,,,,,,,,,
18233.299999952316,,intro_3,137558,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,139560,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,140562,<p></p>,,,,null,,,,,,,,,,,,,,
4703.799999952316,,intro_1,145267,instruct,,0,,,,,,,,,,,,,,,,
10460.600000023842,,intro_2,155729,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,157731,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,158733,<p></p>,,,,null,,,,,,,,,,,,,,
5705.5,,intro_1,164439,instruct,,0,,,,,,,,,,,,,,,,
12256,,intro_2,176696,instruct,,1,Next,,,,,,,,,,,,,,,
43045.800000071526,,intro_3,219743,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,220548,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,221150,prac_stop_color,,,,null,,,,,,,,,,,,,,
773.5999999046326,,prac_atten_color_black,223151,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,223956,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,224552,prac_stop_color,,,,null,,,,,,,,,,,,,,
