rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
20623.40000000596,{worker_id:66a02d45a7db35d93c9f6a81},id_enter,20627,id_enter,GW/teeth.jpg; GW/wheelchair.jpg; GW/barrel.jpg; GW/hat.jpg; GW/jukebox.jpg; GW/paint.jpg; GW/basket.jpg; GW/snail.jpg; GW/gong.jpg; GW/globe.jpg; GW/dustpan.jpg; GW/soldier.jpg; GW/camera.jpg,,,,,,,,,,,,,,,,,
105258.20000001788,,fullscreen,125894,fullscreen,,0,,,,,,,,,,,,,,,,
20931.09999999404,,intro_1,146835,instruct,,0,,,,,,,,,,,,,,,,
5978,,intro_2,152815,instruct,,1,Next,,,,,,,,,,,,,,,
5108.4000000059605,,intro_3,157926,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,159929,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,160931,<p></p>,,,,null,,,,,,,,,,,,,,
4200.0999999940395,,intro_1,165132,instruct,,0,,,,,,,,,,,,,,,,
3222.5,,intro_2,168357,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,170361,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,171365,<p></p>,,,,null,,,,,,,,,,,,,,
3136,,intro_1,174503,instruct,,0,,,,,,,,,,,,,,,,
2718.5999999940395,,intro_2,177226,instruct,,1,Next,,,,,,,,,,,,,,,
13625.299999982119,,intro_3,190855,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,191691,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,192262,prac_stop_color,,,,null,,,,,,,,,,,,,,
148.59999999403954,,prac_atten_color_black,194265,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,195103,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,195816,prac_stop_color,,,,null,,,,,,,,,,,,,,
68.5,,prac_atten_color_black,197818,black_plus_sign,,,,49,,,,,,,,,,,,,,
4454.299999982119,,attentioncheck_help,202277,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,202970,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,203678,prac_stop_color,,,,null,,,,,,,,,,,,,,
345,,prac_atten_color_black,205680,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,206379,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,207271,prac_stop_color,,,,null,,,,,,,,,,,,,,
133.40000000596046,,prac_atten_color_black,209272,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,209787,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,210891,prac_stop_color,,,,null,,,,,,,,,,,,,,
225.39999997615814,,prac_atten_color_black,212892,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,213194,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,213910,prac_stop_color,,,,null,,,,,,,,,,,,,,
338.59999999403954,,prac_atten_color_black,215912,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,216602,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,217457,prac_stop_color,,,,null,,,,,,,,,,,,,,
7.9000000059604645,,prac_atten_color_black,219460,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,220012,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,220864,prac_stop_color,,,,null,,,,,,,,,,,,,,
383.2000000178814,,prac_atten_color_black,222866,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,223421,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,224268,prac_stop_color,,,,null,,,,,,,,,,,,,,
322.7999999821186,,prac_atten_color_black,226271,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,226830,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,227407,prac_stop_color,,,,null,,,,,,,,,,,,,,
475.7000000178814,,prac_atten_color_black,229410,black_plus_sign,,,,49,,,,,,,,,,,,,,
