rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
9766.200000047684,{worker_id:6831289b9c4e793dbdc40856},id_enter,9775,id_enter,GW/wheelchair.jpg; GW/soldier.jpg; GW/basket.jpg; GW/barrel.jpg; GW/gong.jpg; GW/dustpan.jpg; GW/camera.jpg; GW/paint.jpg; GW/hat.jpg; GW/teeth.jpg; GW/snail.jpg; GW/globe.jpg; GW/jukebox.jpg,,,,,,,,,,,,,,,,,
16678.5,,fullscreen,26460,fullscreen,,0,,,,,,,,,,,,,,,,
14522.5,,intro_1,40985,instruct,,0,,,,,,,,,,,,,,,,
27270.200000047684,,intro_2,68257,instruct,,1,Next,,,,,,,,,,,,,,,
16021.299999952316,,intro_3,84279,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,86285,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,87291,<p></p>,,,,null,,,,,,,,,,,,,,
5647.200000047684,,intro_1,92940,instruct,,0,,,,,,,,,,,,,,,,
11178.299999952316,,intro_2,104120,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,106124,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,107134,<p></p>,,,,null,,,,,,,,,,,,,,
3713.7000000476837,,intro_1,110850,instruct,,0,,,,,,,,,,,,,,,,
7962.600000023842,,intro_2,118815,instruct,,1,Next,,,,,,,,,,,,,,,
40435.800000071526,,intro_3,159252,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,159942,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,160676,prac_stop_color,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,162684,black_plus_sign,,,,null,,,,,,,,,,,,,,
11446.799999952316,,attentioncheck_help,174135,instruct,,,,32,,,,,,,,,,,,,,
null,,prac_atten_color_black,174816,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,175560,prac_stop_color,,,,null,,,,,,,,,,,,,,
304.60000002384186,,prac_atten_color_black,177565,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,178244,black_plus_sign,,,,null,,,,,,,,,,,,,,
575.8999999761581,,prac_atten_color,178828,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,180832,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,181668,black_plus_sign,,,,null,,,,,,,,,,,,,,
579,,prac_atten_color,182285,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,184288,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,185088,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,185514,prac_stop_color,,,,null,,,,,,,,,,,,,,
205.69999992847443,,prac_atten_color_black,187521,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,188522,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,189029,prac_stop_color,,,,null,,,,,,,,,,,,,,
54.10000002384186,,prac_atten_color_black,191037,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,191961,black_plus_sign,,,,null,,,,,,,,,,,,,,
674.5,,prac_atten_color,192986,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,194994,black_plus_sign,,,,null,,,,,,,,,,,,,,
